OnsetTime	OffsetTime	MidiPitch
0.521985	6.706980	62
1.379980	5.743980	61
2.240990	6.730980	60
3.114990	6.730980	57
4.021980	6.730980	54
4.938980	5.781970	50
5.782980	5.855980	53
5.856970	6.730980	51
6.706980	7.081980	62
6.709980	7.475980	50
7.081980	7.206980	62
7.206980	7.473980	62
7.472970	8.218960	67
7.473980	8.218960	58
7.473980	8.218960	62
7.475980	8.228970	43
7.475980	8.228970	50
7.479980	8.232970	55
7.977980	8.232970	69
8.232970	9.003970	66
8.235970	9.003970	63
8.235970	9.003970	70
8.236960	9.002960	43
8.239970	9.003970	60
8.743970	9.003970	69
9.000960	9.783970	62
9.001970	9.527960	67
9.002960	9.785970	43
9.002960	9.789960	58
9.527960	9.789960	67
9.782970	10.155000	60
9.783970	10.154000	62
9.785970	10.550000	43
9.786970	10.550000	50
9.786970	10.553000	57
10.154000	10.283000	62
10.155000	10.280000	60
10.280000	10.553000	60
10.283000	10.550000	62
10.546000	11.280900	58
10.547000	11.280900	67
10.550000	11.280900	62
10.550000	11.294900	50
10.550000	11.295900	43
10.551000	11.295900	55
11.043900	11.297900	69
11.298900	12.075900	63
11.298900	12.075900	66
11.301900	12.075900	70
11.302900	12.072900	43
11.302900	12.075900	60
11.809900	12.075900	69
12.071900	12.733900	62
12.072900	12.600900	67
12.072900	12.862900	43
12.072900	12.862900	58
12.600900	12.862900	67
12.866900	13.244900	58
12.866900	13.248900	62
12.866900	13.660900	54
12.867900	13.660900	42
13.244900	13.381900	58
13.248900	13.380900	62
13.380900	13.660900	62
13.381900	13.656900	58
13.656900	14.451900	58
13.657900	14.182900	65
13.657900	14.468900	50
13.657900	15.284900	41
14.182900	14.472900	65
14.472900	15.284900	57
14.472900	15.284900	65
14.476900	15.284900	51
15.001900	15.284900	62
15.280900	16.090900	53
15.281900	15.817900	58
15.281900	16.089900	46
15.284900	16.090900	50
15.817900	16.086900	58
16.086900	16.478900	58
16.089900	16.898900	39
16.089900	16.898900	46
16.089900	16.898900	55
16.478900	16.895900	58
16.614900	16.898900	60
16.894900	17.718900	53
16.895900	17.717900	58
16.895900	17.718900	62
16.897900	17.718900	34
16.898900	17.717900	46
17.714900	18.519900	54
17.717900	18.106900	58
17.717900	18.518900	46
17.717900	18.519900	39
18.106900	18.515900	58
18.232900	18.519900	60
18.514900	19.274900	62
18.515900	19.274900	53
18.515900	19.274900	58
18.518900	19.295900	34
18.518900	19.295900	46
19.030900	19.296900	65
19.299900	20.083900	57
19.299900	20.083900	63
19.300900	20.083900	48
19.300900	20.083900	67
19.302900	20.083900	41
19.813900	20.083900	65
20.081900	20.958900	62
20.082900	20.958900	53
20.083900	20.930900	58
20.083900	20.958900	46
20.632900	20.958900	60
20.926900	21.511900	55
20.930900	21.354900	58
20.930900	21.812900	39
20.931900	21.812900	51
21.354900	21.812900	58
21.511900	21.812900	55
21.511900	21.812900	60
21.512900	21.812900	45
21.805900	24.206900	57
21.806900	24.206900	54
21.808900	24.210900	62
21.809900	24.210900	38
21.809900	24.210900	50
24.211900	24.583900	74
24.583900	24.704900	74
24.704900	24.973900	74
24.973900	25.718900	70
24.973900	25.718900	74
24.974900	25.718900	79
24.975900	25.732900	55
24.976900	25.733900	62
24.976900	25.733900	67
25.480900	25.735900	81
25.735900	26.513900	75
25.736900	26.513900	78
25.739900	26.513900	82
25.740900	26.509900	55
25.740900	26.513900	72
26.246900	26.513900	81
26.509900	27.034900	79
26.509900	27.194900	74
26.509900	27.290900	55
26.510900	28.050900	70
27.034900	28.049900	79
27.285900	27.654900	72
27.286900	27.657900	74
27.289900	28.052900	62
27.289900	28.052900	69
27.290900	28.050900	55
27.654900	27.784900	72
27.657900	27.783900	74
27.783900	28.050900	74
27.784900	28.052900	72
28.049900	28.783800	79
28.050900	28.783800	70
28.050900	28.783800	74
28.050900	28.801900	55
28.052900	28.802900	67
28.052900	28.804900	62
28.544900	28.805900	81
28.805900	29.582900	78
28.809900	29.582900	75
28.811900	29.582900	82
28.812900	29.579800	55
28.812900	29.582900	72
29.312900	29.582900	81
29.578900	30.352800	74
29.579800	30.107800	79
29.579800	30.362800	55
29.582900	30.366800	70
30.107800	30.366800	79
30.366800	30.751800	70
30.370800	30.748800	74
30.370800	31.161800	54
30.370800	31.161800	66
30.748800	30.885800	74
30.751800	30.884800	70
30.884800	31.157800	70
30.885800	31.161800	74
31.157800	31.689800	77
31.157800	31.955800	70
31.160800	32.792800	53
31.161800	31.972800	62
31.689800	31.972800	77
31.973800	32.792800	69
31.976800	32.792800	63
31.976800	32.792800	77
32.502800	32.788800	70
32.788800	33.320800	70
32.788800	33.596800	65
32.789800	33.596800	62
32.791800	33.596800	58
33.320800	33.589800	70
33.589800	33.982800	70
33.589800	34.402800	67
33.590800	34.402800	63
33.593800	34.402800	51
33.982800	34.401800	70
34.121800	34.402800	72
34.397800	35.221800	65
34.398800	35.221800	74
34.401800	35.218800	70
34.402800	35.221800	46
34.402800	35.221800	58
35.217800	36.022800	66
35.218800	35.606800	70
35.221800	36.021800	58
35.221800	36.022800	51
35.606800	36.019800	70
35.739800	36.022800	72
36.015800	36.778800	74
36.018800	36.778800	65
36.019800	36.778800	70
36.019800	36.795800	46
36.021800	36.795800	58
36.533800	36.796800	77
36.799800	37.593800	69
36.799800	37.593800	75
36.800800	37.593800	79
36.802800	37.593800	53
36.802800	37.593800	60
37.321800	37.593800	77
37.589800	38.462800	74
37.590800	38.430800	70
37.590800	38.462800	65
37.591800	38.462800	58
38.133800	38.462800	72
38.430800	38.857800	70
38.430800	39.312800	67
38.431800	39.312800	63
38.433800	39.312800	51
38.857800	39.312800	70
39.011800	39.312800	72
39.012800	39.312800	57
39.308800	42.536800	74
39.309800	42.536800	50
39.309800	42.536800	66
39.309800	42.536800	69
39.312800	41.769800	62
41.769800	42.144800	62
42.144800	42.263800	62
42.263800	42.533800	62
42.533800	43.277800	59
42.533800	43.277800	62
42.535800	43.277800	65
42.535800	44.072800	56
42.536800	44.072800	43
43.040800	43.277800	67
43.229800	43.298800	70
43.298800	44.069800	62
43.299800	44.068800	59
43.302800	44.072800	68
43.807800	44.072800	67
44.068800	44.782800	59
44.069800	44.597800	65
44.069800	44.782800	62
