OnsetTime	OffsetTime	MidiPitch
0.519987	1.502990	63
0.520993	1.504000	51
0.520993	1.504000	58
0.523983	1.504000	55
1.506990	2.519000	58
1.507990	2.519990	46
1.507990	2.519990	53
1.507990	2.519990	62
2.521990	3.562000	57
2.522990	3.562000	60
2.522990	3.564990	53
2.525990	3.564990	41
3.566000	4.583990	58
3.568990	4.583990	62
3.570000	4.587000	46
3.570000	4.587000	53
4.587000	5.630000	58
4.590990	5.630990	51
4.590990	5.630990	55
4.592000	5.634000	39
5.634000	6.680010	60
5.634000	6.681000	56
5.635000	6.681000	44
5.635000	6.684000	51
6.684000	7.755000	56
6.684000	7.755000	62
6.686990	7.755990	41
6.688000	7.755990	46
7.757990	8.828980	55
7.758990	8.828980	63
7.758990	8.829990	39
7.761980	8.829990	46
8.831980	11.409000	39
8.927980	11.409000	46
9.018990	11.409000	51
9.119990	11.409000	55
9.210980	11.409000	58
9.305980	11.409000	63
9.389990	9.750000	67
9.483990	9.667000	70
9.571990	9.925000	75
9.667000	9.838000	70
9.750000	11.409000	67
9.838000	11.409000	70
9.925000	11.409000	75
10.006000	11.409000	79
10.093000	11.409000	82
10.181000	11.409000	87
10.268000	11.409000	91
10.367000	11.409000	94
10.471000	11.451000	99
11.455000	12.486000	63
11.455000	12.487000	60
11.456000	12.487000	55
11.456000	12.488000	48
12.490000	13.508000	63
12.491000	13.509000	56
12.491000	13.509000	60
12.493000	13.510000	44
13.512000	14.555000	58
13.513000	14.556000	43
13.513000	14.559000	51
14.560000	15.591000	53
14.562000	15.591000	58
14.563000	15.592000	46
14.563000	15.595000	38
15.595000	16.659000	51
15.596000	16.659000	55
15.596000	16.660000	39
15.598000	16.663000	46
16.663000	17.708000	58
16.664000	17.712000	55
16.666000	17.713000	40
16.666000	17.713000	49
17.713000	18.787000	56
17.715000	18.790000	53
17.716000	18.245000	41
17.716000	18.790000	48
18.245000	18.794000	44
18.794000	19.840000	51
18.795000	19.840000	55
18.797000	19.841000	36
18.797000	19.844000	48
19.844000	22.378000	36
19.939000	22.378000	48
20.034000	22.378000	51
20.131000	22.378000	55
20.219000	22.378000	60
20.310000	22.378000	63
20.405000	20.761000	67
20.499000	20.671000	72
20.583000	20.940000	75
20.671000	20.845000	72
