OnsetTime	OffsetTime	MidiPitch
0.519987	1.367990	44
0.523983	0.957992	49
0.954988	1.578990	54
0.955994	1.578990	58
0.957992	1.367990	49
1.367990	1.577980	49
1.367990	1.791990	44
1.577980	1.793980	49
1.578990	1.794990	54
1.578990	1.794990	58
1.791990	2.623990	44
1.793980	2.210990	49
2.208990	2.830980	54
2.209990	2.829990	61
2.210990	2.623990	49
2.210990	2.830980	58
2.623990	2.830980	49
2.623990	2.861990	44
2.829990	3.040980	61
2.830980	3.044990	49
2.830980	3.044990	54
2.830980	3.044990	58
3.046990	3.891980	44
3.047980	3.474980	49
3.473990	4.096970	53
3.474980	3.894970	49
3.474980	4.096970	56
3.891980	4.282980	44
3.894970	4.094970	49
4.094970	4.314980	49
4.096970	4.314980	53
4.096970	4.315970	56
4.315970	5.147980	44
4.318980	4.733970	49
4.733970	5.148970	49
4.734970	5.347970	61
4.734970	5.349960	53
5.147980	5.384970	44
5.148970	5.350970	49
5.347970	5.560970	61
5.349960	5.563980	53
5.350970	5.563980	49
5.564970	5.998980	49
5.564970	6.410980	44
5.998980	6.414980	49
6.001980	6.620970	51
6.001980	6.621980	54
6.410980	6.785970	44
6.414980	6.621980	49
6.620970	6.823970	51
6.621980	6.827970	49
6.621980	6.828960	54
6.830960	7.254960	49
6.830960	7.667960	44
7.251960	7.870960	61
7.253960	7.868960	54
7.254960	7.667960	49
7.254960	7.870960	51
7.667960	7.870960	49
7.667960	7.937950	44
7.868960	8.080960	54
7.870960	8.081960	51
7.870960	8.081960	61
7.870960	8.083960	49
8.083960	8.977960	44
8.084960	8.532960	49
8.529970	9.428960	53
8.529970	9.431950	61
8.532960	8.979960	49
8.977960	9.889950	44
8.979960	9.432960	49
9.428960	10.343000	53
9.431950	10.341900	61
9.432960	9.890950	49
9.889950	10.807900	44
9.890950	10.343000	49
10.341900	10.883900	61
10.343000	10.807900	49
10.343000	10.883900	53
10.807900	11.275900	49
10.807900	11.745900	44
11.275900	11.748900	49
11.276900	12.239900	61
11.276900	12.240900	53
11.745900	12.761900	44
11.748900	12.241900	49
12.239900	15.776900	61
12.240900	15.776900	53
12.241900	12.763900	49
12.761900	15.776900	44
12.763900	15.776900	49
16.126900	16.339900	54
16.127900	16.340900	58
16.130900	16.975900	44
16.131900	16.977900	49
16.560900	17.820900	54
16.560900	17.821900	58
16.564900	17.184900	56
16.974900	17.396900	60
16.975900	17.282900	44
16.977900	17.282900	49
17.184900	17.397900	56
17.397900	17.604900	63
17.401900	18.237900	44
17.401900	18.237900	49
17.824900	18.650900	54
17.824900	18.650900	58
17.825900	18.541900	63
17.827900	18.440900	56
18.235900	18.654900	60
18.237900	18.541900	44
18.237900	18.541900	49
18.440900	18.654900	56
18.656900	18.870900	53
18.657900	18.870900	56
18.657900	18.874900	61
18.658900	19.500900	44
18.661900	19.504900	49
19.087900	20.355900	53
19.088900	19.708900	56
19.088900	19.822900	61
19.500900	19.822900	44
19.500900	19.921900	60
19.504900	19.822900	49
19.708900	19.917900	56
19.921900	20.358900	56
19.924900	20.774900	44
19.924900	20.778900	49
20.355900	21.205900	53
20.358900	20.973900	56
20.774900	20.984900	44
20.778900	20.985900	49
20.985900	21.205900	56
21.206900	21.422900	51
21.209900	21.423900	54
21.209900	22.055900	44
21.210900	22.056900	49
21.635900	22.896900	51
21.636900	22.258900	56
21.636900	22.896900	54
22.053900	22.476900	58
22.055900	22.360900	44
22.056900	22.360900	49
22.258900	22.479900	56
22.479900	22.685900	60
22.480900	23.316900	44
22.480900	23.316900	49
22.896900	23.728900	54
22.897900	23.728900	51
22.898900	23.613900	60
22.899900	23.315900	56
23.315900	23.519900	56
23.316900	23.613900	44
23.316900	23.613900	49
23.519900	23.732900	56
23.732900	23.945900	56
23.735900	23.946900	61
23.735900	24.580900	44
23.736900	24.580900	49
24.158900	25.430900	53
24.159900	25.002900	61
24.162900	24.783900	56
24.580900	24.890900	44
24.580900	24.890900	49
24.783900	25.002900	56
25.003900	25.216900	60
25.006900	25.850900	44
25.007900	25.850900	49
25.433900	26.280900	53
25.433900	26.281900	60
25.434900	26.046900	56
25.850900	26.056900	44
25.850900	26.056900	49
26.060900	26.281900	56
26.283900	26.493800	54
26.284900	26.494900	58
26.284900	27.127900	44
26.284900	27.130800	49
26.714800	27.974900	54
26.714800	27.974900	58
26.718800	27.334800	56
27.127900	27.431800	44
27.127900	27.543900	60
27.130800	27.431800	49
27.334800	27.547800	56
27.547800	27.756900	63
27.548900	28.391900	44
27.548900	28.391900	49
27.978900	28.803900	58
27.978900	28.804900	54
27.979900	28.591900	56
27.979900	28.688800	63
28.387900	28.807900	60
28.391900	28.688800	44
28.391900	28.688800	49
28.591900	28.807900	56
28.808900	29.024900	53
28.808900	29.024900	56
28.810900	29.027900	61
28.811900	29.655900	44
28.811900	29.655900	49
29.237900	30.508800	53
29.241900	29.858900	61
29.241900	29.860900	56
29.654900	29.966900	60
29.655900	30.017900	44
29.655900	30.017900	49
29.858900	30.017900	61
29.860900	30.067900	56
29.966900	30.074900	60
30.075900	30.511900	56
30.077900	30.928900	44
30.078900	30.932900	49
30.508800	31.358800	53
30.511900	31.127800	56
30.928900	31.134800	44
30.932900	31.138800	49
31.139800	31.359800	56
31.359800	31.572800	58
31.363800	31.572800	54
31.363800	31.576800	63
31.363800	32.209900	44
31.364800	32.210800	49
31.789800	32.507800	63
31.790800	32.409800	56
31.790800	33.045800	54
31.790800	33.046800	58
32.209900	32.507800	44
32.209900	32.621900	65
32.210800	32.507800	49
32.409800	32.622800	56
32.626800	32.839800	66
32.626800	33.470800	44
32.629800	33.473800	49
33.049800	33.766800	58
33.052800	33.766800	66
33.053800	33.669800	56
33.469800	33.886800	60
33.470800	33.766800	44
33.470800	33.886800	65
33.473800	33.766800	49
33.669800	33.886800	56
33.887800	37.602800	53
33.889800	34.732800	44
33.889800	34.733800	49
33.889800	37.602800	61
34.313800	34.936800	56
34.732800	35.149800	44
34.733800	35.150800	49
34.936800	35.184800	56
35.149800	36.004800	44
35.150800	36.004800	49
35.587800	36.199800	56
36.004800	36.213800	44
36.004800	36.214800	49
36.214800	37.602800	56
36.340800	37.602800	37
36.456900	36.889800	59
36.458800	36.889800	62
36.458800	36.890800	65
36.459800	36.893800	68
36.462800	37.305800	49
36.889800	38.148800	62
36.889800	38.149800	59
36.890800	38.566800	65
36.893800	37.602800	68
37.305800	37.722800	49
37.509800	37.722800	70
37.723800	38.862800	68
37.725800	38.982800	37
38.148800	38.565800	62
38.149800	38.562800	59
38.149800	38.862800	66
38.150800	38.566800	49
38.562800	38.862800	59
38.565800	38.862800	62
38.566800	38.862800	49
38.566800	38.862800	65
38.982800	39.415800	66
38.983800	39.833800	37
39.412800	40.298800	58
39.413800	40.141800	63
39.415800	39.934800	66
39.416800	40.035800	49
39.833800	40.032800	65
39.833800	40.249800	37
39.934800	40.298800	66
40.032800	40.298800	65
40.035800	40.298800	49
40.141800	40.248800	63
40.248800	41.533800	63
40.249800	41.107800	37
40.683800	41.295800	49
40.683800	41.536800	54
40.683800	41.536800	58
41.107800	41.309800	37
41.313800	41.537800	49
41.540800	43.228800	57
41.541800	42.377800	37
41.964800	42.684800	65
41.967800	42.590800	49
42.377800	42.684800	37
42.587800	42.691800	63
42.590800	43.231800	49
42.692800	43.227800	65
42.801800	43.945800	63
42.803800	43.640800	37
43.227800	44.060800	65
43.228800	43.945800	61
43.228800	44.061800	57
43.231800	43.841800	49
43.638800	44.061800	60
43.640800	43.945800	37
43.841800	44.063800	49
44.063800	44.274800	61
44.064800	44.907800	37
44.487800	45.327800	65
44.487800	45.328800	58
44.491800	45.328800	61
44.494800	45.111800	49
44.907800	45.219800	37
45.111800	45.329800	49
45.330800	45.541800	60
45.331800	46.178800	37
45.761800	46.630800	65
45.761800	47.781800	56
45.762800	47.781800	60
45.764800	46.377800	49
46.178800	46.387800	37
46.388800	46.514800	49
46.514800	47.781800	37
46.629800	47.066800	59
46.630800	47.067800	62
46.630800	47.067800	65
46.632800	47.067800	68
46.633800	47.474800	49
47.066800	48.324800	59
47.067800	47.781800	68
47.067800	48.323800	62
47.067800	48.736700	65
47.474800	47.896800	49
47.682800	47.897800	70
47.897800	49.041700	68
47.900800	49.149700	37
48.323800	48.734800	62
48.324800	48.734800	59
48.326800	49.041700	66
48.327800	48.736700	49
48.734800	49.041700	59
48.734800	49.041700	62
48.736700	49.041700	49
48.736700	49.041700	65
49.149700	49.591700	66
49.153700	50.004700	37
49.587700	50.472700	58
49.590700	50.318700	63
49.591700	50.101700	66
49.591700	50.211700	49
50.003700	50.210700	65
50.004700	50.424700	37
50.101700	50.472700	66
50.210700	50.472700	65
50.211700	50.472700	49
50.318700	50.423700	63
50.423700	51.704700	63
50.424700	51.278700	37
50.854700	51.704700	58
50.854700	51.705700	54
50.855700	51.473700	49
51.278700	51.483700	37
51.484700	51.708700	49
51.708700	53.399700	57
51.709700	52.552700	37
52.135700	52.762700	49
52.135700	52.859700	65
52.552700	52.859700	37
52.758700	52.866700	63
52.762700	52.971700	49
52.867700	52.971700	65
52.972700	54.112700	63
52.975700	53.815700	37
53.398700	54.231700	65
53.399700	54.112700	61
53.399700	54.231700	57
53.400700	54.014700	49
53.814700	54.232700	60
53.815700	54.112700	37
54.014700	54.235700	49
54.235700	54.444700	61
54.236700	55.079700	37
54.662700	55.502700	65
54.662700	55.503700	58
54.663700	55.281700	49
54.663700	55.503700	61
55.079700	55.389700	37
55.281700	55.505700	49
55.505700	55.715700	60
55.506700	56.349700	37
55.929700	56.779700	65
55.929700	56.780700	56
55.932700	56.780700	60
55.936700	56.545700	49
56.349700	56.559700	37
56.559700	56.783700	49
56.783700	56.992700	66
56.784700	56.996700	70
56.784700	57.027700	44
56.786700	57.028700	49
56.997700	57.419700	54
57.213700	58.466600	66
57.213700	58.470600	70
57.217700	57.928700	58
57.419700	57.837700	54
57.627700	57.928700	44
57.627700	58.042600	72
57.629700	57.928700	49
57.837700	58.043600	54
58.046600	58.253600	75
58.047600	58.287600	44
58.049600	58.288600	49
58.253600	58.673600	54
58.470600	59.295600	70
58.471600	59.180600	75
58.471600	59.300600	66
58.473600	59.180600	60
58.673600	59.087600	54
58.880600	59.300600	72
58.883600	59.180600	44
58.883600	59.180600	49
59.087600	59.302600	54
59.303600	59.513600	65
59.303600	59.513600	68
59.303600	59.516600	73
59.306600	59.555600	44
59.307600	59.555600	49
59.516600	59.937600	53
59.733600	60.569600	68
59.734600	60.570600	65
59.737600	60.283600	73
59.737600	60.538600	61
59.937600	60.356600	53
60.147600	60.423600	72
60.147600	60.538600	44
60.150600	60.538600	49
60.283600	60.538600	73
60.356600	60.570600	53
60.423600	60.574600	72
60.574600	61.424600	44
60.574600	61.850600	68
60.575600	61.425600	49
60.784600	61.214600	53
61.001600	61.619600	56
61.001600	61.851600	65
61.214600	61.619600	53
61.424600	61.630600	44
61.425600	61.633600	49
61.634600	61.855600	53
61.855600	62.061600	63
61.857600	62.062600	66
61.858600	62.096600	44
61.858600	62.096600	49
62.064600	62.478600	54
62.274600	63.530600	63
62.277600	63.531600	66
62.278600	62.995600	58
62.478600	62.900600	54
62.687600	63.104600	70
62.691600	62.995600	44
62.691600	62.995600	49
62.900600	63.108600	54
63.108600	63.314600	72
63.111600	63.349600	44
63.111600	63.350600	49
63.317600	63.734600	54
63.531600	64.360600	66
63.534600	64.360600	63
63.535600	64.248600	60
63.535600	64.248600	72
63.734600	64.147600	54
63.944600	64.361600	68
63.945600	64.248600	44
63.947600	64.248600	49
64.147600	64.364600	54
64.364600	64.581600	65
64.365600	64.582600	73
64.365600	64.616600	44
64.367600	64.617600	49
64.584600	65.004600	53
64.794600	66.062600	68
64.797600	66.062600	65
64.798600	65.518600	61
64.798600	65.631600	73
65.004600	65.418600	53
65.208600	65.518600	44
65.211600	65.518600	49
65.418600	65.631600	53
65.634600	65.844600	72
65.634600	65.883600	44
65.635600	65.884600	49
65.848600	66.275600	53
66.062600	66.912600	68
66.065600	66.915600	65
66.065600	66.915600	72
66.066600	66.674600	56
66.275600	66.674600	53
66.485600	66.688600	44
66.488600	66.688600	49
66.689600	66.919600	53
66.919600	67.128600	66
66.920600	67.129600	70
66.920600	67.164600	44
66.922600	67.165600	49
67.132600	67.552600	54
67.343600	68.599600	66
67.346600	68.063600	58
67.346600	68.599600	70
67.552600	67.967600	54
67.756600	68.172600	72
67.757600	68.063600	44
67.758600	68.063600	49
67.967600	68.175500	54
68.176600	68.388500	75
68.179600	68.423500	44
68.179600	68.424500	49
68.389500	68.805500	54
68.599600	69.432600	70
68.603500	69.316500	60
68.603500	69.316500	75
68.603500	69.435500	66
68.805500	69.222500	54
69.016600	69.436500	72
69.019500	69.316500	44
69.019500	69.316500	49
69.222500	69.438500	54
69.439500	69.648500	65
69.439500	69.649500	68
69.439500	69.652500	73
69.442500	69.680500	44
69.443500	69.681500	49
69.653500	70.073500	53
69.862500	70.698500	68
69.862500	70.699500	65
