OnsetTime	OffsetTime	MidiPitch
0.525982	0.613985	48
0.525982	3.329080	36
0.613985	3.228080	48
0.693995	3.134080	55
0.783004	0.957013	60
0.869009	2.952080	64
0.957013	2.868070	60
1.045020	2.773070	67
1.132010	1.300030	72
1.216020	2.594070	76
1.300030	2.507060	72
1.388030	2.427080	79
1.475030	1.647040	84
1.559040	2.252060	88
1.647040	2.164060	84
1.735040	2.078060	91
1.821050	1.990050	96
1.909050	3.253090	100
1.990050	3.253090	96
2.078060	3.253090	91
2.164060	2.340070	84
2.252060	3.253090	88
2.340070	3.253090	84
2.427080	3.253090	79
2.507060	2.686070	72
2.594070	3.253090	76
2.686070	3.253090	72
2.773070	3.253090	67
2.868070	3.047090	60
2.952080	3.253090	64
3.047090	3.253090	60
3.134080	3.253090	55
3.228080	3.330090	48
3.333080	4.751110	29
3.334080	4.754100	41
3.417070	4.631090	48
3.505070	4.631090	57
3.596080	3.774090	60
3.687070	4.631090	65
3.774090	4.631090	60
3.855070	4.631090	69
3.946080	4.121080	72
4.033080	4.631090	77
4.121080	4.631090	72
4.209090	4.631090	81
4.302090	4.478100	84
4.387090	4.631090	89
4.478100	4.631090	84
4.568100	4.660100	93
4.661090	4.754100	96
4.758090	6.077150	100
4.758090	6.168150	30
4.759100	6.169150	42
4.839100	6.077150	96
4.926090	6.077150	93
5.017100	5.189100	84
5.101100	6.077150	88
5.189100	6.077150	84
5.276110	6.077150	81
5.363110	5.539110	72
5.451110	6.077150	76
5.539110	6.077150	72
5.627120	6.077150	69
5.710130	5.885130	60
5.798140	6.077150	62
5.885130	6.077150	60
5.973140	6.077150	57
6.060150	6.171150	48
6.172140	7.575180	31
6.176140	7.575180	43
6.263150	7.575180	47
6.350150	7.575180	55
6.438150	6.616160	59
6.522160	7.575180	62
6.616160	7.575180	59
6.704160	7.575180	67
6.792160	6.970170	71
6.882160	7.575180	74
6.883170	7.575180	30
6.883170	7.575180	42
6.970170	7.575180	71
7.065170	7.575180	79
7.158180	7.344170	83
7.253180	7.575180	86
7.254170	7.628180	28
7.254170	7.628180	40
7.344170	7.575180	83
7.436170	7.575180	91
7.534180	7.629170	93
7.629170	8.961210	98
7.631170	9.069200	26
7.631170	9.070200	38
