OnsetTime	OffsetTime	MidiPitch
1.111980	1.429980	70
1.429980	1.954960	70
1.433980	1.751970	39
1.537980	2.164960	58
1.538970	1.857970	55
1.642970	2.164960	67
1.643970	1.957960	46
1.751970	2.059960	39
1.751970	2.263950	75
1.857970	2.466950	63
1.954960	2.465940	70
1.957960	2.263950	46
2.059960	2.367950	39
2.059960	2.570940	79
2.164960	2.770940	67
2.164960	2.874940	58
2.263950	2.673940	46
2.263950	2.770940	75
2.367950	2.872940	82
2.367950	3.270930	39
2.465940	3.071940	70
2.466950	3.270930	63
2.570940	3.070930	79
2.573940	3.270930	55
2.672940	3.270930	87
2.673940	3.270930	46
2.770940	3.270930	67
2.770940	3.270930	75
2.872940	3.168940	82
2.970940	3.270930	91
2.972940	3.270930	51
3.070930	3.270930	79
3.071940	3.270930	70
3.168940	3.270930	82
3.169930	3.270930	58
3.266930	3.575920	89
3.270930	3.575920	51
3.365930	3.575920	74
3.366930	3.575920	71
3.470930	3.575920	80
3.472930	3.575920	59
3.574930	3.900930	87
3.575920	3.883920	51
3.673920	3.900930	75
3.676920	3.900930	72
3.778910	3.900930	60
3.778910	3.900930	80
3.882920	4.195920	84
3.883920	4.197910	51
3.981930	4.201910	72
3.984920	4.201910	68
4.085920	4.201910	80
4.086920	4.201910	62
4.195920	4.530910	84
4.197910	4.530910	51
4.300910	4.530910	67
4.300910	4.530910	72
4.397910	4.530910	79
4.401910	4.530910	63
4.503910	5.140890	82
4.505910	5.140890	58
4.608910	5.031890	70
4.611900	4.922890	67
4.712900	5.136890	75
4.713900	4.923900	63
4.817890	5.140890	79
4.818900	5.140890	51
4.922890	5.140890	67
4.923900	5.140890	63
5.031890	5.140890	70
5.032890	5.140890	55
5.136890	5.447880	75
5.139880	5.447880	41
5.234880	5.447880	63
5.237890	5.447880	60
5.339880	5.447880	69
5.342880	5.447880	53
5.444870	5.749870	48
5.444870	5.749870	74
5.542870	5.749870	62
5.545870	5.749870	60
5.647880	5.749870	69
5.650870	5.749870	53
5.745870	6.049860	75
5.749870	6.049860	41
5.850870	6.049860	63
5.853870	6.049860	60
5.949870	6.049860	69
5.951870	6.049860	53
6.048870	6.356850	79
6.049860	6.356850	46
6.147870	6.356850	67
6.148860	6.356850	63
6.246860	6.356850	70
6.249860	6.356850	53
6.344860	6.665860	77
6.347850	6.665860	50
6.442860	6.665860	65
6.444860	6.665860	62
6.546860	6.665860	70
6.547850	6.665860	53
6.644860	6.950840	74
6.648850	6.950840	46
6.743860	6.950840	62
6.745850	6.950840	58
6.841850	6.950840	65
6.843850	6.950840	53
6.949850	7.264830	41
6.949850	7.264830	75
7.051840	7.264830	63
7.053840	7.264830	60
7.156840	7.264830	69
7.261830	7.575820	74
7.264830	7.575820	48
7.365830	7.575820	62
7.366830	7.575820	59
7.470830	7.575820	69
7.471830	7.575820	53
7.573830	7.902830	75
7.575820	7.902830	41
7.672830	7.902830	63
7.673820	7.902830	60
7.778810	7.902830	69
7.779820	7.902830	53
7.901820	8.226810	46
7.901820	8.226810	79
8.002820	8.226810	67
8.005820	8.226810	63
8.108820	8.226810	72
8.110820	8.226810	56
8.213810	8.541800	77
8.216810	8.418790	53
8.310800	8.541800	65
8.314800	8.541800	62
8.416790	8.541800	68
8.418790	8.541800	53
8.520790	8.849780	72
8.521790	8.849780	46
8.624800	8.849780	60
8.625800	8.849780	56
8.730800	8.849780	65
8.731790	8.849780	50
8.833790	9.361770	70
8.835790	9.148780	39
8.937780	9.567770	58
8.939780	9.259770	55
9.048790	9.563770	67
9.049780	9.363770	46
9.148780	9.462770	39
9.148780	9.664770	75
9.259770	9.869760	63
9.259770	9.973760	55
9.361770	9.868770	70
9.363770	9.665760	46
9.462770	9.769760	39
9.462770	9.973760	79
9.563770	10.177800	67
9.567770	10.275800	58
9.664770	10.176800	75
9.665760	10.071800	46
9.767770	10.274700	82
9.769760	10.670700	39
9.868770	10.473800	70
9.869760	10.670700	63
9.973760	10.471800	79
9.973760	10.670700	55
10.071800	10.670700	46
10.071800	10.670700	87
10.176800	10.670700	75
10.177800	10.670700	67
10.274700	10.568700	82
10.275800	10.571700	58
10.372800	10.670700	91
10.375700	10.669700	51
10.471800	10.670700	79
10.473800	10.670700	70
10.568700	10.670700	82
10.571700	10.670700	58
10.666700	10.978700	89
10.669700	10.977700	51
10.774700	10.978700	74
10.775700	10.978700	71
10.872700	10.978700	59
10.872700	10.978700	80
10.974700	11.302700	87
10.977700	11.286700	51
11.072700	11.302700	75
11.075700	11.302700	72
11.180700	11.302700	60
11.180700	11.302700	80
11.282700	11.596700	84
11.286700	11.597700	51
11.387700	11.601700	72
11.390700	11.601700	68
11.488700	11.601700	80
11.489700	11.601700	62
11.596700	11.932700	84
11.597700	11.932700	51
11.701700	11.932700	72
11.702700	11.932700	67
11.804700	11.932700	79
11.807700	11.932700	63
11.904700	12.539700	82
11.905700	12.539700	58
12.010700	12.328700	67
12.010700	12.539700	70
12.112700	12.433700	75
12.115700	12.329700	63
12.224700	12.539700	79
12.226700	12.539700	51
12.328700	12.539700	67
12.329700	12.539700	63
12.433700	12.539700	75
12.434700	12.539700	55
12.538700	12.850700	47
12.538700	12.850700	78
12.640700	12.850700	66
12.714268	12.921268	63
12.739700	12.850700	75
12.741700	12.850700	57
12.846700	13.151700	51
12.846700	13.151700	77
12.944700	13.151700	65
12.945700	13.151700	63
13.047700	13.151700	75
13.049700	13.151700	57
13.147700	13.459700	78
13.148700	13.459700	47
13.253700	13.459700	63
13.253700	13.459700	66
13.350700	13.459700	75
13.351700	13.459700	57
13.456700	13.760700	46
13.456700	13.760700	79
13.553700	13.760700	67
13.554700	13.760700	62
13.652700	13.760700	74
13.654700	13.760700	55
13.756700	14.054700	81
13.760700	14.054700	45
13.855700	14.054700	69
13.858600	14.054700	62
13.953700	14.054700	74
13.955600	14.054700	54
14.051600	14.356600	82
14.054700	14.356600	43
14.156600	14.356600	70
14.159600	14.356600	62
14.254600	14.356600	74
14.257600	14.356600	55
14.352600	14.664600	84
14.355600	14.664600	41
14.460600	14.664600	70
14.460600	14.664600	72
14.562600	14.664600	77
14.565600	14.664600	63
14.660600	14.971600	86
14.663600	14.971600	53
14.768600	14.971600	74
14.769600	14.971600	70
14.865600	14.971600	77
14.866600	14.971600	63
14.968600	15.285600	81
14.970600	15.285600	60
15.066600	15.285600	69
15.069600	15.285600	65
15.166600	15.285600	77
15.167600	15.285600	63
15.283600	15.604600	84
15.284600	15.593600	46
15.381600	15.604600	72
15.384600	15.604600	63
15.486600	15.604600	77
15.489600	15.604600	53
15.590600	15.936600	82
15.593600	15.916600	46
15.696600	15.936600	62
15.696600	15.936600	70
15.794600	15.915600	77
15.796600	15.936600	53
15.915600	16.224600	77
15.916600	16.227600	46
16.018600	16.227600	65
16.021600	16.227600	61
16.119600	16.227600	70
16.120600	16.227600	53
16.224600	16.539600	44
16.224600	16.539600	77
16.326600	16.539600	65
16.329600	16.539600	59
16.434600	16.539600	53
16.434600	16.539600	71
16.536600	16.840600	75
16.538600	16.840600	49
16.634600	16.840600	63
16.637600	16.840600	59
16.738600	16.840600	70
16.741600	16.840600	53
16.839600	17.151600	77
16.840600	17.151600	37
16.942600	17.151600	61
16.945600	17.151600	59
17.040600	17.151600	68
17.043600	17.151600	53
17.147600	17.462600	80
17.148600	17.462600	42
17.253600	17.462600	61
17.254600	17.462600	58
17.351600	17.462600	54
17.351600	17.462600	70
17.449600	17.763600	78
17.452600	17.763600	49
17.547600	17.763600	58
17.547600	17.763600	61
17.646600	17.763600	70
17.648600	17.763600	54
17.750600	18.055600	42
17.750600	18.055600	73
17.848600	18.055600	61
17.851600	18.055600	58
17.947600	18.055600	70
17.949600	18.055600	49
18.051600	18.362600	77
18.055600	18.362600	37
18.152600	18.362600	61
18.153600	18.362600	59
18.255600	18.362600	71
18.257600	18.362600	53
18.359600	18.667600	75
18.362600	18.667600	44
18.457600	18.667600	61
18.460600	18.667600	59
18.565600	18.667600	70
18.566600	18.667600	53
18.663600	18.968600	37
18.663600	18.968600	77
18.765600	18.968600	61
18.768600	18.968600	59
18.866500	18.968600	53
18.866500	18.968600	68
