OnsetTime	OffsetTime	MidiPitch
0.822996	4.869000	65
0.824002	4.869000	68
1.757000	4.420990	80
1.757990	3.536990	77
3.536990	5.278000	77
3.536990	5.283000	73
4.869000	8.641980	69
4.873000	8.642980	66
5.285000	5.676990	72
5.285990	5.678000	75
5.678000	6.104990	73
5.678990	6.107980	77
6.107980	9.079980	75
6.108990	9.079980	72
8.642980	12.513000	65
8.645970	12.514000	68
9.080990	9.488990	73
9.080990	9.489980	70
9.491980	9.887980	75
9.492990	9.890970	72
9.891980	13.333000	70
9.894970	11.866000	73
10.564000	12.233000	77
11.866000	13.336000	73
12.517000	16.286000	63
12.518000	16.290000	66
12.934000	13.753000	72
12.937000	13.753000	68
13.333000	15.765000	70
13.336000	15.765000	73
13.753000	16.713000	72
13.859156	16.820156	68
16.290000	18.701000	66
16.291000	18.702000	63
16.293000	18.705000	61
16.714000	17.123000	70
17.124000	17.525000	72
17.525000	18.284000	70
17.932000	18.309000	75
18.310000	18.705000	70
18.706000	19.090000	68
18.708000	19.864000	66
18.709000	19.864000	60
18.709000	19.867000	63
19.090000	19.475000	70
19.475000	20.262000	68
19.867000	22.204000	63
19.871000	22.205000	58
19.871000	22.205000	61
20.265000	20.654000	66
20.655000	21.029000	68
21.029000	22.206000	66
22.208000	23.381000	63
22.209000	23.381000	57
22.209000	23.793000	65
22.210000	23.385000	60
23.385000	25.781000	61
23.386000	25.786000	56
23.388000	26.951000	58
23.794000	24.200000	65
24.201000	24.602000	66
24.603000	25.005000	65
25.005000	25.551000	70
25.390000	25.786000	65
25.788000	26.167000	63
25.789000	26.951000	54
26.168000	26.562000	65
26.562000	27.347000	63
26.955000	29.295000	58
26.955000	29.296000	53
26.956000	29.299000	56
27.347000	27.734000	61
27.735000	28.123000	63
28.124000	29.300000	61
29.300000	31.227000	56
29.303000	31.227000	51
29.303000	31.227000	54
29.303000	31.227000	60
30.003000	31.385000	44
30.948000	31.385000	37
31.386000	34.556000	56
31.389000	34.556000	53
31.784000	35.004000	65
31.784000	35.004000	68
32.337000	34.556000	80
32.338000	33.671000	77
33.668000	35.414000	73
33.671000	35.418000	77
35.005000	35.418000	49
35.005000	37.493000	42
35.419000	35.809000	75
35.419000	38.731000	66
35.421000	38.732000	61
35.421000	38.732000	70
35.421000	38.733000	58
35.425000	38.735000	54
35.425000	38.736000	49
35.810000	36.240000	77
36.241000	39.166000	75
38.736000	41.311000	41
38.737000	41.315000	49
39.167000	39.576000	73
39.167000	40.048000	68
39.168000	39.579000	61
39.169000	40.049000	53
39.170000	40.049000	56
39.580000	40.051000	75
39.583000	40.052000	63
40.052000	41.315000	68
40.055000	41.316000	73
40.056000	41.318000	80
40.056000	41.319000	61
40.056000	41.319000	65
41.321000	42.579000	73
41.322000	42.579000	65
41.322000	42.991000	77
41.323000	42.581900	56
41.325000	42.581900	61
42.581900	45.085000	42
42.585900	42.991900	49
42.991900	43.382900	75
42.995000	46.351000	66
42.995900	46.351000	70
42.995900	46.352000	61
42.995900	46.355000	58
42.997900	46.355000	54
42.997900	46.356000	49
43.386900	43.821000	77
43.821000	45.087900	75
45.089000	46.785000	73
46.358000	50.293000	44
46.789000	47.198000	73
46.789000	47.675000	68
46.793000	47.199000	61
46.793000	47.675000	53
46.793000	47.678000	59
47.201900	47.678000	63
47.203000	47.679000	75
47.682000	48.371000	70
47.682000	48.371000	82
47.682900	49.658900	77
47.684900	49.449000	65
47.684900	49.453000	61
47.686000	49.453000	59
48.375000	49.663000	80
48.375000	49.663900	68
49.663900	50.706000	65
49.665900	50.706000	77
50.293000	52.899900	46
50.707000	54.733900	65
50.709000	51.083000	75
50.709000	52.207000	63
50.709000	53.585000	70
50.710000	54.734900	53
50.712900	54.736900	58
51.084000	51.493000	77
51.497000	52.210900	75
52.212000	53.585900	73
52.214000	54.738000	61
53.587000	54.738000	70
54.738000	57.183900	27
54.740900	57.183900	39
55.377900	56.417900	82
55.378900	57.187900	77
55.380900	57.187900	89
55.381900	56.420900	66
55.381900	56.420900	70
55.384900	57.187900	65
56.421900	56.798900	87
56.421900	56.802900	82
56.424900	56.802900	75
56.425900	56.805900	63
56.425900	56.805900	66
56.427900	56.805900	70
56.806900	57.188900	82
56.809900	57.155900	75
56.809900	57.155900	87
56.809900	57.156900	63
56.810900	57.190900	66
56.812900	57.190900	70
57.190900	57.578900	75
57.191900	57.579900	87
57.194900	57.579900	82
57.194900	57.582900	63
57.194900	57.583900	66
57.197900	57.583900	70
57.583900	57.960900	82
57.586900	57.963900	73
57.586900	57.964900	61
57.586900	57.964900	85
57.590900	57.967900	66
57.590900	57.968900	70
57.968900	58.310900	73
57.968900	58.311900	85
57.970900	58.311900	61
57.970900	58.311900	82
57.971900	58.313900	66
57.971900	58.314900	70
58.345900	58.741900	73
58.345900	58.741900	85
58.346900	58.742900	82
58.349900	58.742900	61
58.349900	58.744900	66
58.350900	58.744900	70
58.745900	59.121900	82
58.745900	59.122900	78
58.748900	59.122900	72
58.748900	59.125900	84
58.749900	59.126900	60
58.749900	59.126900	66
58.751900	59.127900	70
59.129900	59.469900	72
59.129900	59.472900	82
59.133900	59.472900	78
59.133900	59.472900	84
59.133900	59.476900	60
59.134900	59.476900	66
59.136900	59.476900	70
59.501900	60.102900	72
59.501900	60.102900	84
59.501900	60.106900	82
59.502900	60.106900	78
59.504900	60.106900	60
59.504900	60.107900	66
59.504900	60.109900	70
60.109900	60.781900	82
60.113900	60.782900	73
60.113900	60.785900	61
60.113900	60.785900	85
60.114900	60.785900	66
60.116900	60.789900	70
60.789900	62.174900	70
60.792900	62.178900	78
60.792900	62.178900	82
60.793900	62.178900	58
60.796900	62.182900	61
60.796900	62.182900	66
62.182900	64.607900	46
62.184900	64.607900	27
62.185900	64.610900	39
62.818900	63.865900	82
62.822900	63.866900	70
62.822900	64.236900	89
62.822900	64.237900	77
62.826900	63.866900	66
62.826900	64.237900	65
63.868900	64.239900	78
63.869900	64.239900	90
63.869900	64.240900	82
63.872900	64.243900	66
63.872900	64.243900	75
63.873900	64.246900	70
64.246900	64.610900	82
64.247900	64.611900	89
64.247900	64.614900	77
64.250900	64.615900	65
64.250900	64.615900	66
64.251900	64.617900	70
64.617900	64.957900	87
64.618900	64.957900	75
64.621900	64.958900	82
64.621900	64.960900	63
64.621900	64.960900	66
64.622900	64.960900	70
64.984900	65.355900	77
64.985900	65.356900	89
64.989900	65.359900	82
64.989900	65.360900	65
64.989900	65.360900	66
64.990900	65.363900	70
65.363900	65.726900	82
65.363900	65.727900	87
65.367900	65.730900	75
65.367900	65.731900	63
65.367900	65.731900	66
65.368900	65.733900	70
65.734900	66.080900	85
65.734900	66.083900	82
65.737900	66.084900	73
65.738900	66.084900	61
65.740900	66.087900	66
65.741900	66.088900	70
66.118900	66.500900	82
66.119900	66.500900	75
66.119900	66.501900	87
66.119900	66.504900	63
66.122900	66.504900	66
66.122900	66.505900	70
66.507900	66.847900	73
66.508900	66.847900	82
66.508900	66.850900	85
66.511900	66.850900	61
66.512900	66.854900	66
66.512900	66.854900	70
66.878900	67.428900	82
66.878900	67.431900	72
66.879900	67.432900	84
66.882900	67.480900	60
66.882900	67.484900	66
66.883900	67.484900	70
67.432900	67.485900	87
67.485900	68.163900	85
67.487900	68.163900	73
67.488900	68.164900	61
67.488900	68.164900	82
67.491900	68.166900	66
67.491900	68.166900	70
68.167900	70.035800	70
68.167900	70.036800	78
68.170900	69.482800	58
68.170900	69.486900	63
68.170900	70.036800	82
68.171800	69.486900	66
69.486900	71.603800	32
69.489800	71.604800	44
70.039800	70.553800	78
70.040800	70.554800	66
70.042800	70.554800	54
70.557800	71.068800	75
70.557800	71.071800	68
70.557800	71.071800	80
70.558800	71.604800	63
70.561800	71.072800	60
70.561800	71.075800	56
71.075800	71.606800	72
71.076800	71.607800	84
71.078800	71.607800	60
71.607800	72.149800	70
71.610800	72.150800	82
71.611800	72.150800	78
71.611800	72.152800	66
71.613800	72.692800	63
71.614800	72.153800	58
72.153800	72.695800	66
72.156800	72.699800	78
72.157800	72.699800	54
72.700800	74.715800	33
72.700800	74.715800	45
73.059800	73.403800	66
73.059800	73.406800	75
73.060800	73.406800	78
73.063800	73.406800	72
73.063800	73.407800	63
73.063800	73.409800	60
73.066800	73.410800	54
73.403800	73.724800	66
73.406800	73.721800	75
