OnsetTime	OffsetTime	MidiPitch
0.521985	0.573993	50
0.521985	0.574999	57
0.727992	0.778002	59
0.731989	0.778002	65
0.935005	0.979999	60
0.935998	0.980992	53
1.130000	1.183000	69
1.134000	1.184010	62
1.344000	1.512000	59
1.348000	1.543000	50
1.544000	1.649000	59
1.650000	1.746990	60
1.746990	1.942990	69
1.748000	1.946000	65
1.751000	1.946000	59
1.946990	2.107990	57
2.163000	2.239990	59
2.163990	2.372990	50
2.583000	2.744990	65
2.583990	2.747990	60
2.583990	2.747990	69
3.009990	3.219980	59
3.013990	3.423980	45
3.220990	3.423980	60
3.426980	3.524970	62
3.426980	3.824970	72
3.426980	3.825970	69
3.622970	3.724970	64
3.825970	3.923970	66
3.828960	4.213970	38
4.021960	4.084970	66
4.087960	4.150960	67
4.151970	4.214960	66
4.214960	4.416960	64
4.217960	4.619960	72
4.217960	4.620950	69
4.417960	4.620950	62
4.623960	4.797950	60
4.623960	5.043940	45
4.836940	5.008930	62
5.043940	5.427940	72
5.044940	5.428940	69
5.047930	5.428940	64
5.459940	5.670940	64
5.462940	5.872940	40
5.670940	5.873930	66
5.876940	5.971940	68
5.877930	6.279930	59
6.064930	6.173930	69
6.279930	6.446920	66
6.282930	6.684910	52
6.481920	6.586920	66
6.586920	6.685920	68
6.687920	6.887920	66
6.688910	6.891910	62
6.688910	7.108920	57
6.891910	7.051910	60
6.894900	7.052910	64
7.109910	7.315900	66
7.111910	7.315900	62
7.112910	7.521900	40
7.522900	7.738900	62
7.524900	7.739910	66
7.524900	7.739910	69
7.952900	8.165910	64
7.952900	8.165910	68
7.953910	8.577910	59
7.955910	10.464900	52
8.168910	8.360910	66
8.168910	8.365910	69
8.365910	8.960920	64
8.367910	8.963910	68
8.578920	8.788920	60
8.788920	9.407890	59
8.997910	9.198910	66
8.998910	9.201900	69
9.201900	9.792890	68
9.202910	9.792890	71
9.411900	9.617900	60
9.618890	10.234900	62
9.827890	10.023900	69
9.827890	10.024900	72
10.026900	10.234900	64
10.027900	10.464900	68
10.234900	10.468900	64
10.468900	10.674900	76
10.469900	10.675900	79
10.471900	11.286900	69
10.471900	11.291900	60
10.472900	11.291900	53
10.675900	10.772900	74
10.679900	10.772900	77
10.776900	10.878900	76
10.776900	10.878900	79
10.878900	11.080900	74
10.881900	11.081900	77
11.081900	11.294900	72
11.084900	11.295900	76
11.295900	11.494900	70
11.295900	11.494900	74
11.297900	12.120900	62
11.297900	12.120900	65
11.298900	12.121900	55
11.494900	11.707900	69
11.495800	11.708900	72
11.708900	12.330800	70
11.710900	12.331900	74
12.124900	12.939800	48
12.124900	12.940800	55
12.125900	12.940800	64
12.331900	12.428900	69
12.331900	12.428900	72
12.429800	12.526800	70
12.432900	12.526800	74
12.527800	12.736800	72
12.530800	12.737800	69
12.737800	12.940800	70
12.739800	12.942800	67
12.943800	13.146800	65
12.943800	13.149800	69
12.947800	13.362800	53
12.947800	13.363800	57
12.947800	13.363800	60
13.149800	13.366800	64
13.150800	13.367800	67
13.367800	13.744800	65
13.369800	13.744800	69
13.369800	13.748800	50
13.370800	13.748800	57
13.370800	13.749800	62
13.779800	13.975800	76
13.779800	14.587800	69
13.783800	13.978800	79
13.783800	14.588800	41
13.783800	14.588800	57
13.786800	14.588800	48
13.979800	14.080800	74
13.982800	14.080800	77
14.084800	14.181800	76
14.087800	14.182800	79
14.182800	14.385800	74
14.183800	14.385800	77
14.386800	14.591800	72
14.388800	14.592800	76
14.592800	15.417800	65
14.594800	14.793800	70
14.594800	14.794800	74
14.595800	15.417800	43
14.598800	15.418800	58
14.598800	15.421800	50
14.798800	15.004800	69
14.798800	15.004800	72
15.007800	15.620800	70
15.008800	15.621800	74
15.421800	16.236800	64
15.421800	16.237800	48
15.424800	16.237800	55
15.424800	16.239800	60
15.623800	15.718800	69
15.623800	15.718800	72
15.722800	15.822800	70
15.722800	15.823800	74
15.823800	16.026800	72
15.826800	16.026800	69
16.030800	16.239800	70
16.030800	16.240800	67
16.240800	16.445800	65
16.243800	16.446800	69
16.243800	16.869800	53
16.244800	16.870800	60
16.446800	16.660800	64
16.447800	16.660800	67
16.661800	17.696700	65
16.663800	17.279800	69
16.870800	17.069800	52
17.073800	17.699700	50
17.073800	17.902700	53
17.282800	17.489700	67
17.490800	18.105700	69
17.699700	17.902700	64
17.703700	17.903700	48
17.905700	19.939700	53
17.905700	20.345700	62
17.906700	18.518700	47
18.106700	18.308700	67
18.308700	18.924700	69
18.519700	18.718700	45
18.718700	19.334700	43
18.924700	19.134700	71
19.135700	19.334700	74
19.337700	19.533700	45
19.337700	19.533700	71
19.534700	19.736700	69
19.536700	20.345700	47
19.737700	19.939700	71
19.940700	20.142700	64
19.943700	20.143700	55
20.145700	20.346700	67
20.146700	20.348700	52
20.349700	20.555700	69
20.349700	22.788600	62
20.351700	20.965700	47
20.352700	22.584600	53
20.555700	20.758700	67
20.759700	21.367700	69
20.968700	21.167700	45
21.168700	21.776700	43
21.368700	21.577700	71
21.577700	21.780700	74
21.781700	21.976700	71
21.783700	21.976700	45
21.979700	22.179700	69
21.980700	22.789600	47
22.183700	22.375600	71
22.378600	22.589600	69
22.589600	22.792600	65
22.590600	22.792600	55
22.793600	24.615600	64
22.795600	22.998600	56
22.795600	24.216600	60
22.799600	25.220600	48
22.999600	23.201600	54
23.205600	23.411600	52
23.412600	23.611600	54
23.615600	23.817600	56
23.817600	23.890600	57
24.020600	24.094600	59
24.216600	25.221600	60
24.419600	24.496600	62
24.618600	25.224600	64
24.815600	24.891600	66
25.010600	25.095600	68
25.225600	26.886600	62
25.228600	27.097600	64
25.228600	27.768600	47
25.229600	25.431600	56
25.431600	25.637600	54
25.640600	25.846600	52
25.850600	26.057600	54
26.057600	26.267600	56
26.268600	26.340600	57
26.470600	26.551600	59
26.677600	26.754600	60
26.887600	27.772500	62
27.097600	27.772500	64
27.317600	27.391600	66
27.530600	27.625600	68
27.773600	27.821500	57
27.776500	27.824500	38
27.979500	28.031600	59
28.181600	28.227500	65
28.182600	28.230500	69
28.185600	28.231500	60
28.186500	28.231500	45
28.186500	28.234500	53
28.381500	28.434600	62
28.594600	28.763500	59
28.595600	28.797600	38
28.798500	28.895600	59
28.896500	28.994600	60
28.994600	29.186500	69
28.997500	29.187500	59
28.997500	29.187500	65
28.998500	29.039500	53
29.001600	29.043500	45
29.189500	29.344500	57
29.399500	29.476500	59
29.400500	29.603500	38
29.802500	29.963500	65
29.803500	29.963500	69
29.803500	29.967500	60
29.805500	29.861500	53
29.806500	29.862500	45
30.236500	30.439500	59
30.237500	30.285500	38
30.440500	30.646500	60
30.646500	31.038500	72
30.647500	30.743500	62
30.647500	31.038500	69
30.649500	30.691500	45
30.649500	30.691500	54
30.841500	30.940500	64
31.038500	31.135500	66
31.041500	31.237500	38
31.237500	31.297500	66
31.300500	31.362500	67
31.363500	31.426500	66
31.427500	31.832500	72
31.427500	31.833500	69
31.429500	31.626500	64
31.430500	31.478500	54
31.430500	31.479500	45
31.626500	31.835500	62
31.835500	32.003500	60
31.839500	32.032500	38
32.032500	32.203500	62
32.235500	32.658500	64
32.236500	32.287500	54
32.236500	32.658500	69
32.236500	32.658500	72
32.238500	32.287500	45
32.662500	32.703500	69
32.662500	32.704500	38
32.861500	32.914500	71
33.064500	33.109500	65
33.065500	33.110500	62
33.065500	33.113500	72
33.067500	33.113500	45
33.068500	33.114500	53
33.260500	33.313500	74
33.477500	33.645500	71
33.477500	33.680500	38
33.681500	33.778500	71
33.779500	33.876500	72
33.876500	34.068500	62
33.877500	34.069500	65
33.880500	33.922500	53
33.880500	34.069500	71
33.881500	33.922500	45
34.072500	34.230500	69
34.285500	34.359500	71
34.286500	34.485500	38
34.689500	34.853500	65
34.691500	34.853500	62
34.692500	34.740500	53
34.692500	34.853500	72
34.695500	34.744500	45
35.119500	35.171500	38
35.119500	35.321500	71
35.322500	35.525500	72
35.528500	35.920500	72
35.528500	35.921500	69
35.529500	35.622500	74
35.529500	35.626500	62
35.720500	35.819500	76
35.724500	35.822500	64
35.921500	36.018500	78
35.923500	36.022500	66
36.116500	36.179500	78
36.120500	36.179500	66
36.183500	36.242500	79
36.186500	36.246500	67
36.246500	36.308500	78
36.249500	36.312500	66
36.313500	36.512500	64
36.313500	36.512500	76
36.515500	36.718500	74
36.515500	36.722500	62
36.725500	36.924500	72
36.725500	36.925500	60
36.925500	37.138500	74
36.928500	37.138500	62
37.142500	37.964500	76
37.142500	37.965500	64
37.554500	37.754500	69
37.559500	37.754500	72
37.559500	37.755500	57
37.562500	37.758500	60
37.758500	37.965500	74
37.759500	37.967500	62
37.967500	38.335500	67
37.968500	38.336400	71
37.968500	38.339500	76
37.971500	38.340500	55
37.972500	38.340500	59
37.974500	38.340500	64
38.370500	38.783400	66
38.371500	38.574500	57
38.371500	38.574500	69
38.371500	38.783400	54
38.577400	38.784400	71
38.577400	38.787400	59
38.787400	39.199400	65
38.787400	39.200400	68
38.788400	39.584400	72
38.790400	39.200400	53
38.790400	39.204400	56
38.790400	39.585400	60
39.204400	39.518400	64
39.207400	39.522400	52
39.207400	39.522400	67
39.207400	39.523400	55
39.623400	40.450400	68
39.624400	40.036400	63
39.626400	40.036400	66
39.627400	40.037400	51
39.627400	40.037400	54
39.627400	40.450400	56
40.040400	40.344400	65
40.041400	40.345400	50
40.041400	40.345400	62
40.043400	40.348400	53
40.450400	42.846400	64
40.452400	40.610400	61
40.453400	40.611400	49
40.453400	42.847400	52
40.876400	41.041400	60
