OnsetTime	OffsetTime	MidiPitch
0.518994	1.478010	78
0.637991	1.478010	50
0.767997	1.478010	56
0.889998	1.478010	68
0.892988	1.478010	59
1.012990	1.478010	69
1.015990	1.478010	66
1.129000	1.478010	70
1.244010	1.478010	71
1.366010	1.478010	72
1.477000	1.590010	73
1.593010	1.709010	74
1.709010	1.825020	75
1.825020	1.936010	76
1.937010	2.413010	81
2.052010	2.413010	76
2.053020	2.413010	49
2.168020	2.413010	73
2.171020	2.413010	57
2.280010	2.413010	69
2.283020	2.413010	64
2.407020	2.881000	67
2.521010	2.881000	46
2.639990	2.881000	52
2.756000	2.881000	76
2.759000	2.881000	61
2.872000	3.347000	68
2.989990	3.347000	47
3.102000	3.347000	52
3.218010	3.347000	76
3.222010	3.347000	62
3.336990	3.808000	67
3.455000	3.808000	46
3.567010	3.808000	52
3.680010	3.808000	76
3.681000	3.808000	61
3.799000	4.284990	68
3.920990	4.284990	47
4.033000	4.284990	52
4.144990	4.284990	77
4.145990	4.284990	62
4.281990	5.240010	78
4.399980	5.240010	50
4.530980	5.240010	56
4.653980	5.240010	68
4.655980	5.240010	59
4.774980	5.240010	69
4.777980	5.240010	66
4.890980	5.240010	70
5.006000	5.240010	71
5.122000	5.240010	72
5.237000	5.356010	73
5.356010	5.468000	74
5.471000	5.587000	75
5.587000	5.696000	76
5.696000	6.183980	81
5.815010	6.183980	49
5.815010	6.183980	76
5.927000	6.183980	57
5.927000	6.183980	73
6.041990	6.183980	64
6.041990	6.183980	69
6.182980	7.143970	85
6.300970	7.143970	57
6.427970	7.143970	63
6.549970	7.143970	75
6.552980	7.143970	66
6.678970	7.143970	76
6.682970	7.143970	73
6.787960	7.143970	77
6.909970	7.143970	78
7.025970	7.143970	79
7.141980	7.252990	80
7.252990	7.367990	81
7.369000	7.484000	82
7.487000	7.599990	83
7.602990	8.071980	88
7.711990	8.071980	56
7.711990	8.071980	83
7.827990	8.071980	80
7.829990	8.071980	64
7.945980	8.067980	71
7.945980	8.071980	76
8.067980	9.009960	71
8.187980	9.009960	47
8.299980	9.009960	56
8.415970	9.009960	80
8.417970	8.999970	64
8.531960	9.009960	68
8.876960	9.009960	76
8.999970	9.356970	64
9.121970	9.985960	47
9.237980	9.985960	55
9.353980	9.985960	73
9.356970	9.985960	64
9.483980	9.985960	61
9.846970	9.985960	70
9.979970	11.107000	60
10.112000	11.107000	47
10.246000	11.107000	54
10.376000	11.107000	69
10.378000	11.107000	63
10.516000	11.107000	57
10.935000	11.107000	66
11.090000	11.880000	56
11.239000	11.880000	40
11.387000	11.880000	47
11.534000	11.880000	64
11.701000	11.880000	28
12.359000	13.326000	78
12.489000	13.326000	50
12.611000	13.326000	56
12.734000	13.326000	68
12.738000	13.326000	59
12.857000	13.326000	69
12.858000	13.326000	66
12.976000	13.326000	70
13.091000	13.326000	71
13.211000	13.326000	72
13.325000	13.434000	73
13.438000	13.549000	74
13.554000	13.668000	75
13.669000	13.784000	76
13.784000	14.257000	81
13.893000	14.257000	76
13.896000	14.257000	49
14.011000	14.257000	73
14.012000	14.257000	57
14.127000	14.257000	69
14.131000	14.257000	64
14.254000	14.722000	67
14.369000	14.722000	46
14.481000	14.722000	52
14.597000	14.722000	76
14.599000	14.722000	61
14.713000	15.187000	68
14.834000	15.187000	47
14.943000	15.187000	52
15.063000	15.187000	76
15.065000	15.187000	62
15.178000	15.653000	67
15.296000	15.653000	46
15.412000	15.653000	52
15.528000	15.653000	61
15.528000	15.653000	76
15.644000	16.126000	68
15.762000	16.126000	47
15.874000	16.126000	52
15.990000	16.126000	77
15.993000	16.126000	62
16.126000	17.089000	78
16.244000	17.089000	50
16.371000	17.089000	56
16.497000	17.089000	68
16.498000	17.089000	59
16.617000	17.089000	69
16.619000	17.089000	66
16.738000	17.089000	70
16.854000	17.089000	71
16.969000	17.089000	72
17.088000	17.193000	73
17.197000	17.312000	74
17.316000	17.427000	75
17.432000	17.546000	76
17.547000	18.026000	81
17.655000	18.026000	76
17.656000	18.026000	49
17.775000	18.026000	57
17.775000	18.026000	73
17.889000	18.026000	69
17.890000	18.026000	64
18.023000	18.986000	85
18.148000	18.986000	57
18.271000	18.986000	63
18.394000	18.986000	75
18.398000	18.986000	66
18.523000	18.986000	76
18.524000	18.986000	73
18.639000	18.986000	77
18.755000	18.986000	78
18.867000	18.986000	79
18.985000	19.100000	80
19.101000	19.216000	81
19.216000	19.328000	82
19.328000	19.443000	83
19.444000	19.920000	88
19.559000	19.920000	83
19.560000	19.920000	56
19.671000	19.920000	80
19.672000	19.920000	64
19.787000	19.920000	76
19.790000	19.916000	71
19.916000	20.858000	71
20.028000	20.858000	47
20.141000	20.858000	56
20.257000	20.858000	80
20.259000	20.841000	64
20.379000	20.858000	68
20.722000	20.858000	76
20.841000	21.205000	64
20.963000	21.832000	47
21.089000	21.832000	55
21.204000	21.832000	73
21.205000	21.832000	64
21.327000	21.832000	61
21.691000	21.832000	70
21.831000	22.947000	60
21.957000	22.947000	47
22.093000	22.947000	54
22.219000	22.947000	69
22.220000	22.947000	63
22.363000	22.947000	57
22.783000	22.947000	66
22.933000	23.850000	56
23.076000	23.850000	40
23.227000	23.850000	47
23.375000	23.850000	64
23.606000	23.850000	28
24.515000	25.975000	67
24.644000	26.440000	47
24.778000	26.440000	55
24.911000	25.517000	71
25.010141	26.535141	62
25.041000	25.401000	74
25.163000	25.402000	79
25.285000	26.440000	73
25.401000	25.632000	74
25.402000	25.632000	79
25.517000	25.863000	71
25.632000	25.866000	74
25.632000	26.440000	79
25.748000	26.440000	69
25.863000	26.083000	71
25.866000	26.087000	74
25.975000	26.440000	67
26.083000	26.311000	71
26.087000	26.314000	74
26.203000	26.440000	66
26.311000	26.440000	71
26.314000	26.440000	74
26.440000	26.923000	65
26.559000	26.923000	49
26.679000	26.923000	59
26.794000	26.923000	68
26.797000	26.923000	73
26.917000	27.399000	66
27.035000	27.399000	49
27.155000	27.399000	61
27.270000	27.399000	69
27.270000	27.399000	73
27.392000	27.875000	63
27.511000	27.875000	49
27.631000	27.875000	57
27.746000	27.875000	66
27.749000	27.875000	73
27.869100	28.358000	65
27.987000	28.358000	49
28.103100	28.358000	59
28.222000	28.358000	68
28.225100	28.358000	73
28.358000	28.848000	61
28.473000	28.848000	42
28.594000	28.848000	49
28.715000	28.848000	66
28.719000	28.848000	57
28.719000	28.848000	69
28.719000	28.848000	73
28.838000	29.352000	62
28.957000	29.215000	66
28.960000	29.216000	69
28.960000	29.219000	73
29.090000	29.352000	64
29.215000	29.352000	66
29.216000	29.352000	69
29.219000	29.352000	73
29.345000	29.843000	61
29.467000	29.852000	42
29.591000	29.852000	49
29.716000	29.852000	69
29.717000	29.852000	59
29.717000	29.852000	65
29.717000	29.852000	73
29.843000	30.350000	61
29.961000	30.351000	42
30.084000	30.351000	49
30.209000	30.351000	65
30.210000	30.351000	59
30.210000	30.351000	69
30.210000	30.351000	73
30.350000	31.687000	61
30.479000	32.485000	42
30.612000	32.485000	49
30.746000	32.485000	57
30.879000	32.485000	66
31.008000	32.485000	68
31.134000	31.812000	69
31.263000	32.485000	73
31.547000	32.485000	54
31.687000	32.485000	61
31.812000	32.485000	69
31.946000	32.485000	78
32.076000	32.485000	80
32.208000	32.485000	81
32.338000	32.485000	85
32.482000	33.940000	72
32.614000	34.409000	52
32.751000	34.409000	60
32.878000	33.487000	76
32.880000	34.409000	67
33.010000	33.371000	79
33.132000	33.371000	84
33.248000	34.409000	78
33.371000	33.601000	79
33.371000	33.605000	84
33.487000	33.830000	76
33.601000	33.830000	79
33.605000	34.409000	84
33.714000	34.409000	74
33.830000	34.057000	76
33.830000	34.057000	79
33.940000	34.409000	72
34.057000	34.281000	76
34.057000	34.284000	79
34.166000	34.409000	71
34.281000	34.409000	76
34.284000	34.409000	79
34.403000	34.889000	70
34.525000	34.889000	54
34.641000	34.889000	64
34.757000	34.889000	73
34.761000	34.889000	78
34.880000	35.365000	71
35.002000	35.365000	54
35.118000	35.365000	66
35.233000	35.365000	74
35.236000	35.365000	78
35.355000	35.848000	68
35.477000	35.848000	54
35.593000	35.848000	62
35.709000	35.848000	71
35.712000	35.848000	78
35.832000	36.324000	70
35.954000	36.324000	54
36.070000	36.324000	64
36.188000	36.324000	73
36.189000	36.324000	78
36.321000	36.814000	66
36.440000	36.814000	47
36.563000	36.814000	54
36.681000	36.814000	71
36.682000	36.814000	74
36.682000	36.814000	78
36.683000	36.814000	62
36.804000	37.321000	67
36.923000	37.186000	71
36.923000	37.187000	74
36.927000	37.187000	78
37.059000	37.321000	69
37.186000	37.321000	71
37.187000	37.321000	74
37.187000	37.321000	78
37.314000	37.808000	66
37.437000	37.815000	47
37.557000	37.815000	54
37.680000	37.815000	74
37.682000	37.815000	70
37.682000	37.815000	78
37.683000	37.815000	64
37.808000	38.326000	66
37.927000	38.327000	47
38.057000	38.327000	54
38.180000	38.327000	70
38.180000	38.327000	74
38.181000	38.327000	64
38.181000	38.327000	78
38.326000	38.849000	66
38.456000	38.849000	47
38.582000	38.849000	54
38.712000	38.849000	71
38.712000	38.849000	75
38.715000	38.849000	63
38.715000	38.849000	78
38.848000	39.387000	68
38.971000	39.246000	71
38.974000	39.247000	75
38.974000	39.247000	78
39.114000	39.387000	70
39.246000	39.387000	71
39.247000	39.387000	75
39.247000	39.387000	78
39.381000	39.911000	66
39.510000	39.922000	47
39.640000	39.922000	54
39.776000	39.922000	70
39.776000	39.922000	75
39.777000	39.922000	64
39.777000	39.922000	78
39.911000	40.457900	66
40.041000	40.457900	47
40.175000	40.457900	54
40.308000	40.457900	70
40.309000	40.457900	75
40.311000	40.457900	64
40.311000	40.457900	78
40.457900	41.504900	66
40.583900	41.510900	47
40.719900	41.510900	54
40.846900	41.510900	63
40.976900	41.510900	71
41.101900	41.510900	73
41.228900	41.510900	75
41.349900	41.510900	78
41.504900	42.558000	66
41.637000	42.558000	47
41.770900	42.558000	54
41.896900	42.558000	63
42.026900	42.558000	71
42.151900	42.558000	73
42.273900	42.558000	75
42.396900	42.540900	78
42.540900	43.622900	78
42.688000	43.631900	47
42.821000	43.631900	54
43.011483	43.692383	62
43.083000	43.631900	74
43.210000	43.631900	73
43.342000	43.631900	71
43.478000	43.631900	66
43.622900	44.713900	78
43.760900	44.717900	47
43.894900	44.717900	55
44.024900	44.717900	62
44.154900	44.717900	74
44.293900	44.717900	73
44.429900	44.717900	71
44.573900	44.717900	67
44.713900	45.672900	78
44.716900	45.672900	38
44.717900	45.672900	50
44.836900	45.672900	56
44.962900	45.672900	59
45.084900	45.672900	68
45.088900	45.672900	66
45.207900	45.672900	69
45.322900	45.672900	70
45.442900	45.672900	71
45.560900	45.672900	72
45.669900	45.784900	73
45.787900	45.899900	74
45.903900	46.018900	75
46.019900	46.127900	76
46.128900	46.603900	81
46.242900	46.603900	76
46.246900	46.603900	49
46.362900	46.603900	57
46.362900	46.603900	73
46.478900	46.603900	69
46.480900	46.603900	64
46.600900	47.072900	67
46.718900	47.072900	46
46.831900	47.072900	52
46.950900	47.072900	76
46.952000	47.072900	61
47.065900	47.537900	68
47.184900	47.537900	47
47.297000	47.537900	52
47.413000	47.537900	76
47.416000	47.537900	62
47.530900	48.004000	67
47.650000	48.004000	46
47.761900	48.004000	52
47.872000	48.004000	76
