OnsetTime	OffsetTime	MidiPitch
0.992995	1.259030	45
1.014000	1.262020	52
1.046000	1.165030	57
1.067000	1.266030	60
1.091000	1.267020	64
1.109010	1.270030	69
1.134010	1.271020	72
1.148030	1.271020	81
1.570020	1.655020	69
1.665020	1.781030	69
1.785020	1.896010	72
1.900010	2.015020	71
2.015020	2.124020	69
2.124020	2.362040	52
2.149010	2.372030	59
2.169020	2.274030	64
2.193030	2.376020	68
2.204010	2.376020	71
2.221030	2.379030	76
2.239020	2.379030	80
2.257030	2.379030	88
2.677020	2.761030	64
2.775020	2.890030	64
2.891020	3.006030	68
3.006030	3.122040	66
3.122040	3.233030	64
3.234020	3.471060	45
3.254030	3.481050	52
3.279030	3.384060	57
3.296050	3.482060	60
3.314030	3.482060	64
3.331040	3.485050	69
3.349050	3.486060	72
3.366050	3.488050	81
3.789050	3.870050	69
3.881050	4.000060	69
4.000060	4.115060	72
4.116050	4.234060	71
4.238070	4.354070	69
4.354070	4.595100	52
4.375070	4.609110	59
4.396080	4.503100	64
4.417080	4.609110	68
4.433090	4.612100	71
4.444090	4.612100	80
4.465090	4.613110	88
4.482090	4.990110	76
4.994100	5.119110	64
5.508110	5.746140	45
5.533110	5.756130	52
5.547120	5.659130	57
5.571110	5.757140	60
5.589120	5.761130	64
5.606130	5.761130	69
5.617130	5.764120	72
5.634130	5.764120	81
6.065120	6.152130	69
6.159120	6.278130	69
6.282130	6.398130	72
6.398130	6.513130	71
6.514140	6.625130	69
6.625130	6.859150	52
6.646130	6.873170	59
6.664140	6.775140	64
6.688150	6.873170	68
6.706160	6.877160	71
6.722140	6.877160	76
6.740150	6.878150	80
6.750150	6.878150	88
7.181160	7.262170	64
7.273160	7.392170	64
7.392170	7.507170	68
7.508180	7.623180	66
7.623180	7.737190	64
7.738190	7.976220	45
7.755200	7.983210	52
7.776200	7.881220	57
7.801200	7.983210	60
7.818200	7.983210	64
7.829200	7.984220	69
7.846200	7.987220	72
7.867210	7.987220	81
8.291210	8.374210	69
8.381210	8.504220	69
8.505210	8.620220	72
8.620220	8.735220	71
8.736230	8.858230	69
8.859220	9.096250	52
8.875230	9.106240	59
8.897230	9.004250	64
8.918240	9.110240	68
8.935250	9.111240	71
8.953230	9.111240	80
8.962230	9.113240	88
8.981240	9.491240	76
9.491240	9.625230	64
10.009200	10.241300	45
10.030200	10.248300	52
10.048200	10.156300	57
10.069200	10.248300	61
10.086200	10.248300	76
10.107300	10.249300	81
10.118300	10.251300	85
10.135300	10.251300	93
10.542300	10.629300	81
10.632300	10.755300	81
10.758300	10.867200	82
10.867200	10.982300	81
10.986300	11.091200	79
11.094300	11.332300	50
11.115300	11.339300	57
11.140300	11.245300	62
11.158300	11.340300	65
11.175300	11.340300	69
11.193300	11.340300	77
11.203300	11.343300	81
11.221300	11.344300	89
11.644300	11.731300	74
11.738300	11.854300	74
11.854300	11.962300	77
11.967300	12.081300	76
12.081300	12.197300	74
12.197300	12.435300	43
12.222300	12.438300	50
12.236300	12.347300	55
12.259300	12.442300	59
12.277300	12.442300	74
12.291300	12.446300	79
12.305300	12.446300	83
12.323300	12.447300	91
12.743300	12.827300	79
12.841300	12.953300	79
12.954300	13.065300	81
13.066300	13.177300	79
13.177300	13.289300	77
13.290300	13.526300	48
13.313300	13.531300	55
13.334300	13.433300	60
13.352300	13.533300	64
13.369300	13.534300	67
13.380300	13.534300	76
13.397300	13.537300	79
13.415300	13.538300	88
13.838300	13.926300	72
13.933300	14.052300	72
14.055300	14.171300	76
14.171300	14.279300	74
14.280300	14.395300	72
14.395300	14.633400	50
14.413300	14.640300	53
14.437300	14.541300	59
14.458300	14.640300	65
14.478300	14.641300	71
14.490300	14.643300	77
14.507300	14.643300	83
14.524300	14.644300	89
14.948300	15.032400	71
15.039300	15.154400	71
15.158400	15.277300	74
15.278400	15.393400	72
15.396400	15.511400	71
15.512400	15.746400	48
15.557400	15.662400	60
15.574400	15.760400	64
15.592400	15.760400	69
15.609400	15.760400	76
15.627400	15.764400	81
15.644400	15.764400	88
16.068400	16.155400	69
16.162400	16.278400	69
16.279400	16.397400	72
16.397400	16.516400	71
16.517400	16.660400	69
16.660400	17.177400	65
16.663400	17.178400	53
17.038400	17.178400	75
17.038400	17.181400	63
17.039400	17.182400	57
17.182400	17.751400	64
17.184400	17.752400	52
17.311400	17.443400	76
17.444400	17.573400	74
17.574400	17.752400	71
17.574400	17.755400	62
17.575400	17.755400	56
17.755400	18.280400	64
17.759400	18.280400	69
17.759400	18.281400	60
17.761400	18.284400	57
18.284400	18.419400	81
18.285400	18.420400	72
18.287400	18.420400	69
18.287400	18.423400	64
18.812400	19.260400	45
18.843400	19.260400	52
18.871400	19.260400	57
18.906400	19.260400	61
18.924400	19.260400	76
18.949400	19.260400	81
18.970400	19.260400	85
18.994400	19.260400	93
19.424400	19.487400	81
19.494400	19.740400	81
19.495400	19.883400	61
19.495400	19.883400	64
19.495400	19.883400	69
19.614400	19.883400	82
19.740400	19.883400	81
19.856400	19.974400	79
19.974400	20.397400	50
20.022400	20.397400	57
20.068400	20.397400	65
20.086400	20.397400	69
20.107400	20.397400	77
20.131400	20.397400	81
20.156400	20.397400	89
20.583400	20.646400	74
20.653400	21.010400	74
20.653400	21.066400	62
20.657400	21.066400	65
20.657400	21.066400	69
20.772400	21.066400	77
20.896400	21.066400	76
21.010400	21.129400	74
21.130400	21.581400	43
21.171400	21.581400	50
21.217400	21.581400	59
21.241400	21.581400	74
21.262400	21.581400	79
21.287400	21.581400	83
21.311400	21.581400	91
21.738400	21.804400	79
21.808400	22.057400	79
21.811400	22.211400	59
21.812400	22.211400	62
21.815400	22.211400	67
21.931400	22.211400	81
22.057400	22.211400	79
22.176400	22.290400	77
22.291400	22.721400	48
22.336400	22.721400	55
22.378400	22.721400	64
22.403400	22.721400	67
22.424400	22.721400	76
22.448400	22.721400	79
22.473400	22.721400	88
22.893400	22.956400	72
22.963400	23.321400	72
22.963400	23.323400	64
22.966400	23.323400	67
23.086400	23.323400	76
23.205400	23.323400	74
23.321400	23.442400	72
23.443400	23.887400	50
23.481400	23.887400	58
23.527400	23.887400	65
23.572400	23.887400	70
23.593400	23.887400	77
23.613400	23.887400	89
24.037400	24.097400	70
24.100400	24.458400	70
24.104400	24.459400	62
24.104400	24.459400	65
24.220400	24.459400	74
24.339400	24.459400	72
24.458400	24.573400	70
24.573400	24.989400	48
24.618400	24.989400	60
24.660400	24.989400	64
24.706400	24.989400	69
24.730400	24.989400	76
24.752400	24.989400	88
25.207400	25.287400	69
25.297400	25.669400	69
25.298400	25.819400	60
25.298400	25.819400	64
25.420400	25.819400	72
25.546400	25.819400	71
25.669400	25.819400	69
25.816400	26.347400	65
25.817400	26.351400	53
26.204400	26.352400	63
26.204400	26.352400	75
26.205400	26.354400	57
26.354400	26.963400	64
26.355400	26.964400	52
26.488400	26.634400	76
26.635400	26.768400	74
26.768400	26.964400	71
26.769400	26.967400	62
26.771400	26.967400	56
26.968400	27.593400	64
26.971400	27.591400	69
26.971400	27.908400	57
26.971400	27.908400	60
27.590400	27.908400	81
27.591400	27.908400	69
27.591400	27.908400	72
27.593400	27.908400	64
28.262400	28.304400	72
28.307400	28.346400	81
28.347400	28.462400	57
28.347400	28.462400	88
28.507400	28.622400	84
28.658400	28.780400	81
28.763400	28.815400	57
28.822400	28.944400	76
28.823400	28.945400	57
28.945400	29.060400	60
28.987400	29.098400	72
29.060400	29.182400	59
29.140400	29.221400	69
29.183400	29.309400	57
29.222400	29.263300	68
29.264300	29.309400	76
29.312400	29.431400	83
29.313400	29.431400	64
29.469400	29.588400	80
29.624400	29.746400	76
29.722400	29.777400	52
29.784400	29.907400	71
29.785400	29.908400	52
29.908400	30.023400	55
29.946400	30.065300	68
30.023400	30.145300	54
30.103300	30.183300	64
30.146300	30.268300	52
30.187300	30.225300	72
30.229300	30.269300	81
30.269300	30.390300	88
30.271300	30.348300	57
30.271300	30.614300	45
30.306300	30.621300	52
30.352300	30.526300	57
30.390300	30.621300	60
30.428300	30.551300	84
30.586300	30.709300	81
30.684300	30.744300	57
30.750300	30.866300	76
30.751300	30.867300	57
30.867300	30.989300	60
30.905300	31.027300	72
30.989300	31.104300	59
31.065300	31.205300	69
31.105300	31.258300	57
31.258300	31.863300	64
31.443300	31.598300	68
31.448300	31.598300	76
31.650300	31.811300	71
31.650300	31.812300	80
31.864300	32.028300	76
31.864300	32.028300	88
31.867300	32.029300	52
32.374300	32.417300	72
