OnsetTime	OffsetTime	MidiPitch
0.003142	0.432142	57
0.517989	0.612992	65
0.603001	0.693003	66
0.674992	0.770009	65
0.748994	0.843998	67
0.826014	0.920991	68
0.903006	0.993987	69
0.982990	1.077990	68
1.056990	1.152010	70
1.134000	1.225020	71
1.211000	1.302030	72
1.284010	1.379030	71
1.361020	1.453020	73
1.435040	1.530040	74
1.516030	1.603040	75
1.592040	1.680030	74
1.669030	1.754020	76
1.743020	1.831010	77
1.820010	1.908000	78
1.894020	1.981000	77
1.932010	3.827090	53
1.970000	2.058010	79
1.971010	2.646040	59
2.005010	2.647050	62
2.041000	2.132020	80
2.041000	2.940070	68
2.114010	2.209030	81
2.191020	2.285040	80
2.268040	2.359030	82
2.341050	2.436040	83
2.415040	2.506060	84
2.492040	2.579050	83
2.569050	2.656050	86
2.604050	3.529090	60
2.647050	2.730050	84
2.647050	3.237080	63
2.713040	2.807050	85
2.790050	2.884070	84
2.864060	2.954070	86
2.941070	3.028060	87
2.943070	3.238090	67
3.013060	3.101060	89
3.084060	3.179080	87
3.161070	3.248080	90
3.238090	3.381090	91
3.239080	3.827090	63
3.307070	3.827090	92
3.381090	3.827090	91
3.458090	3.827090	95
3.529090	3.675080	96
3.529090	3.827090	60
3.601080	3.827090	97
3.675080	3.827090	96
3.745080	3.836080	98
3.826090	3.970070	99
3.893080	4.995030	98
3.970070	4.995030	99
4.039070	4.995030	97
4.113080	4.260060	96
4.183070	4.995030	95
4.260060	4.995030	96
4.334060	4.995030	94
4.403060	4.551050	93
4.481050	4.995030	92
4.551050	4.995030	93
4.627040	4.995030	91
4.701040	4.845040	90
4.774040	4.995030	89
4.845040	4.995030	90
4.922030	4.995030	88
4.991030	5.142010	87
5.065020	5.557980	86
5.142010	5.557980	87
5.212020	5.557980	85
5.286010	5.432000	84
5.355010	5.557980	83
5.432000	5.557980	84
5.433010	7.325960	53
5.464000	6.176960	57
5.508990	5.575000	82
5.510000	6.176960	60
5.540000	6.176960	63
5.579000	5.725980	81
5.579990	6.792950	66
5.652990	6.176960	80
5.725980	6.176960	81
5.803980	6.176960	79
5.876980	6.030960	78
5.954960	6.176960	77
6.030960	6.176960	78
6.100960	6.176960	75
6.138960	7.122960	58
6.174960	6.331960	74
6.174960	6.797960	62
6.250960	6.491940	73
6.331960	6.491940	74
6.404960	6.491940	72
6.482940	6.635940	70
6.483950	6.797960	65
6.562940	6.768950	69
6.635940	6.768950	70
6.719940	6.797960	68
6.798950	6.957950	67
6.800950	7.447950	61
6.877940	7.448940	66
6.957950	7.283960	67
7.038950	7.363960	65
7.122960	7.406950	58
7.122960	7.448940	73
7.202960	7.448940	70
7.283960	7.448940	67
7.325960	7.814960	53
7.363960	7.448940	65
7.364950	7.818950	55
7.406950	7.819950	58
7.444950	7.819950	64
7.447950	7.819950	61
8.119960	8.738910	97
8.120960	8.421940	91
8.120960	8.499940	88
8.197950	8.738910	94
8.270950	8.738910	90
8.271950	8.655920	81
8.273950	8.578930	84
8.347940	8.738910	87
8.421940	8.729910	85
8.421940	8.738910	91
8.423940	8.738910	82
8.499940	8.738910	88
8.578930	8.738910	84
8.579920	8.738910	75
8.581920	8.738910	78
8.655920	8.738910	81
8.729910	9.113880	76
8.729910	9.323890	85
8.731910	9.037900	79
8.805910	9.323890	82
8.886900	9.323890	78
8.887910	9.194890	72
8.887910	9.271880	69
8.963890	9.323890	75
9.037900	9.323890	70
9.037900	9.323890	73
9.037900	9.323890	79
9.113880	9.323890	76
9.194890	9.323890	72
9.195880	9.323890	63
9.195880	9.323890	66
9.271880	9.341870	69
9.345870	9.596870	64
9.345870	9.667870	73
9.346870	9.667870	67
9.421870	9.667870	70
9.506870	9.667870	66
9.509870	9.667870	57
9.510860	9.667870	60
9.596870	9.673860	64
9.674870	9.831870	64
9.677870	9.832860	58
9.677870	9.832860	67
9.677870	9.834860	61
10.044900	10.142900	41
10.244900	10.325900	85
10.245900	10.325900	73
10.245900	10.325900	76
10.247900	10.326900	53
10.247900	10.328900	58
10.247900	10.328900	67
10.248900	10.328900	61
10.404900	10.485900	84
10.405900	10.486900	73
10.405900	10.489900	76
10.408900	10.489900	58
10.409900	10.490900	61
10.409900	10.492900	53
10.409900	10.493900	67
10.573900	10.654900	76
10.573900	10.654900	83
10.576900	10.657900	67
10.576900	10.657900	73
10.577900	10.657900	53
10.577900	10.661900	58
10.580900	10.661900	61
10.737900	10.828800	73
10.738800	10.829900	76
10.738800	10.829900	82
10.739900	10.832800	67
10.741900	10.833900	58
10.741900	10.833900	61
10.916900	11.003900	76
10.916900	11.004900	73
10.917900	11.004900	85
10.919900	11.006900	67
10.919900	11.007900	58
10.919900	11.007900	61
10.920800	11.008900	53
11.083800	11.259800	73
11.084900	11.252900	84
11.084900	11.259800	76
11.087800	11.426800	67
11.088800	11.427800	53
11.088800	11.427800	61
11.090800	11.430800	58
11.172800	11.260800	83
11.262800	11.339800	82
11.770800	12.697800	99
11.771800	12.077800	93
11.771800	12.155800	90
11.847800	12.697800	96
11.921800	12.697800	92
11.922800	12.307800	83
11.923800	12.228800	86
11.999800	12.697800	89
12.077800	12.697800	93
12.078800	12.379800	87
12.078800	12.457800	84
12.155800	12.697800	90
12.228800	12.697800	86
12.229800	12.533800	80
12.232800	12.613800	77
12.307800	12.697800	83
12.379800	12.697800	78
12.379800	12.697800	87
12.382800	12.687800	81
12.457800	12.697800	84
12.533800	12.697800	80
12.536800	12.697800	74
12.540800	12.697800	71
12.613800	12.697800	77
12.687800	13.073800	72
12.687800	13.316700	81
12.690800	12.995800	75
12.765800	13.316700	78
12.842800	13.316700	74
12.844800	13.230700	65
12.845800	13.152700	68
12.922800	13.316700	71
12.995800	13.316700	75
12.996800	13.304700	69
12.998800	13.303700	66
13.073800	13.316700	72
13.152700	13.316700	68
13.153700	13.316700	59
13.153700	13.316700	62
13.230700	13.316700	65
13.303700	13.464700	66
13.304700	13.464700	69
13.304700	13.465700	60
13.306700	13.467700	63
13.940700	14.034700	41
14.132700	14.217700	90
14.132700	14.220700	81
14.136700	14.223700	78
14.136700	14.224700	60
14.137700	14.224700	63
14.137700	14.225700	69
14.300700	14.381700	89
14.301700	14.382700	81
14.301700	14.384700	78
14.303700	14.385700	69
14.304700	14.385700	60
14.304700	14.388700	63
14.465700	14.549700	78
14.465700	14.549700	81
14.466700	14.553700	63
14.466700	14.553700	88
14.467700	14.553700	60
14.468700	14.556700	69
14.629700	14.717700	78
14.630700	14.718700	87
14.632700	14.720700	81
14.633700	14.721700	69
14.636700	14.724700	60
14.637700	14.724700	63
14.811700	14.898700	81
14.811700	14.899700	90
14.812700	14.899700	78
14.815700	14.902700	69
14.815700	14.903700	60
14.816700	14.903700	63
14.979700	15.137700	89
14.980700	15.147700	78
14.980700	15.147700	81
14.982700	15.322700	69
14.983700	15.323700	60
14.983700	15.323700	63
15.068700	15.148700	88
15.151700	15.235700	87
15.519700	15.598700	87
15.519700	15.599700	75
15.522700	15.603700	60
15.522700	15.603700	63
15.522700	15.603700	78
15.523700	15.605700	69
15.686700	15.774700	86
15.690700	15.777700	75
15.690700	15.778700	78
15.691700	15.778700	69
15.691700	15.781700	60
15.693700	15.781700	63
15.854700	15.941700	85
15.858700	15.942700	75
15.858700	15.945700	78
15.858700	15.946700	63
15.862700	15.946700	60
15.862700	15.948700	69
16.029700	16.124700	78
16.029700	16.124700	84
16.030700	16.125700	75
16.033700	16.127700	60
16.034700	16.127700	69
16.036700	16.127700	63
16.214700	16.302700	75
16.215700	16.303700	78
16.219700	16.303700	87
16.219700	16.306700	63
16.219700	16.307700	69
16.220700	16.307700	60
16.390700	16.628700	86
16.391700	16.628700	75
16.391700	16.628700	78
16.393700	16.750700	63
16.393700	16.750700	69
16.394700	16.750700	60
16.478700	16.628700	85
16.572700	16.656700	84
16.928700	17.016700	84
16.929700	17.020700	75
16.932700	17.020700	72
16.933700	17.021700	63
16.933700	17.021700	66
16.935700	17.023700	69
17.097700	17.387700	72
17.097700	17.387700	83
17.100700	17.387700	75
17.100700	17.464700	63
17.101700	17.465700	66
17.104700	17.465700	69
17.192700	17.387700	82
17.287700	17.387700	81
17.657700	17.748700	75
17.658700	17.748700	72
17.658700	17.749700	81
17.658700	17.752700	66
17.660700	17.752700	69
17.831700	18.049700	80
17.836700	18.049700	75
17.838700	18.049700	72
17.839700	18.216700	66
17.839700	18.217700	69
17.934700	18.049700	79
18.029700	18.126700	78
18.410700	18.500700	77
18.410700	18.503700	72
18.410700	18.504700	69
18.413700	18.508700	75
18.602700	18.693700	75
18.603700	18.693700	78
18.603700	18.696700	72
18.788700	18.878700	72
18.788700	18.882700	77
18.789700	18.883700	69
18.791700	18.883700	75
18.973700	19.064700	75
18.973700	19.068700	79
18.976700	19.068700	72
19.158700	19.253700	77
19.159700	19.254700	72
19.162700	19.254700	69
