OnsetTime	OffsetTime	MidiPitch
0.531990	1.746960	46
0.535986	1.746960	34
0.668984	1.746960	39
0.668984	1.746960	51
0.672980	1.746960	27
1.599980	1.746960	43
1.599980	1.746960	55
1.600970	1.746960	31
1.732980	1.868980	56
1.732980	1.869970	44
1.733970	1.869970	32
2.268980	2.407970	57
2.268980	2.408970	45
2.271980	2.408970	33
2.831970	3.881960	58
2.832960	3.969970	34
2.832960	3.969970	46
3.874980	4.000970	87
3.875970	4.000970	82
3.878970	4.001980	75
3.878970	4.001980	79
3.879970	4.004970	63
3.879970	4.004970	67
3.881960	4.004970	58
3.881960	4.005980	55
4.777980	5.971980	46
4.778980	5.971980	34
4.907980	5.977980	39
4.907980	5.977980	51
4.908980	5.977980	27
5.831980	5.977980	43
5.831980	5.977980	55
5.832980	5.977980	31
5.971980	6.100970	58
5.971980	6.101980	46
5.971980	6.103970	34
6.506980	6.646970	60
6.506980	6.647980	48
6.510970	6.647980	36
7.062970	8.193970	61
7.063980	8.193970	37
7.063980	8.193970	49
8.100960	8.228970	91
8.102970	8.229960	87
8.102970	8.231960	82
8.103960	8.232970	79
8.103960	8.236960	70
8.106970	8.236960	63
8.106970	8.236960	67
8.106970	8.239970	58
9.001970	10.186000	48
9.002960	10.192000	26
9.005970	10.186000	36
9.138960	10.192000	51
9.142960	10.192000	27
9.142960	10.192000	39
10.057000	10.192000	56
10.060000	10.192000	32
10.060000	10.192000	44
10.186000	10.546000	36
10.186000	10.546000	48
10.186000	10.546000	60
10.539000	10.923900	61
10.540000	10.923900	49
10.542000	10.923900	37
10.916900	11.410900	62
10.918000	11.410900	38
10.918000	11.410900	50
11.316900	12.369900	63
11.316900	12.457000	51
11.319900	12.457000	39
12.362900	12.484900	92
12.363900	12.485900	87
12.363900	12.487900	84
12.363900	12.488900	80
12.365900	12.488900	72
12.365900	12.492900	68
12.369900	12.492900	60
12.369900	12.492900	63
13.269000	14.427900	48
13.270000	14.433900	26
13.272900	14.431000	36
13.401900	14.433900	39
13.401900	14.433900	51
13.403000	14.433900	27
14.302000	14.433900	44
14.302000	14.433900	56
14.302900	14.433900	32
14.427900	14.966900	48
14.427900	14.966900	60
14.431000	14.966900	36
14.684000	14.966900	63
14.686900	14.966900	39
14.686900	14.966900	51
14.955900	15.561900	64
14.956900	15.561900	52
14.959900	15.561900	40
15.246900	15.561900	65
15.247900	15.561900	53
15.249900	15.561900	41
15.548900	16.605900	66
15.550900	16.708900	54
15.551900	16.708900	42
16.597900	16.750900	93
16.600900	16.755900	90
16.601900	16.755900	84
16.604900	16.755900	81
16.604900	16.757900	75
16.605900	16.758900	66
16.605900	16.758900	72
16.607900	16.758900	63
18.105900	18.193900	63
18.106900	18.193900	68
18.106900	18.194900	54
18.109900	18.194900	60
18.395900	18.483900	65
18.396900	18.484900	56
18.396900	18.484900	71
18.399900	18.484900	62
18.679900	18.760900	66
18.680900	18.761900	72
18.680900	18.763900	57
18.682900	18.763900	63
18.948900	19.025900	68
18.953900	19.026900	74
18.955900	19.029900	59
18.956900	19.030900	65
19.208900	19.281900	69
19.211900	19.284900	75
19.211900	19.285900	60
19.212900	19.285900	66
19.456900	19.533900	71
19.456900	19.533900	77
19.457900	19.534900	62
19.460900	19.537900	68
19.704900	19.775900	72
19.708900	19.778900	78
19.709900	19.779900	63
19.711900	19.782900	69
19.939800	20.009900	74
19.940900	20.010800	65
19.940900	20.010800	80
19.942900	20.012800	71
20.170900	20.234900	75
20.170900	20.237900	81
20.171800	20.237900	66
20.174900	20.237900	72
20.391900	20.457900	77
20.394800	20.457900	83
20.395900	20.458900	68
20.395900	20.458900	74
20.607900	20.670900	78
20.608900	20.671900	69
20.608900	20.671900	84
20.611900	20.674900	75
20.821900	20.888900	80
20.821900	20.888900	86
20.825900	20.888900	71
20.825900	20.889900	77
21.031900	21.094900	81
21.032900	21.095900	72
21.032900	21.095900	87
21.035900	21.098800	78
21.234800	21.297900	83
21.235900	21.298800	89
21.235900	21.300800	74
21.237900	21.301800	80
21.437800	21.500800	84
21.437800	21.500800	90
21.438800	21.501800	75
21.441800	21.504800	81
21.633800	21.693800	86
21.634800	21.694800	92
21.636800	21.696800	77
21.637800	21.697800	83
21.826800	21.878800	87
21.826800	21.881800	93
21.828800	21.882800	78
21.829800	21.882800	84
22.011800	22.064800	89
22.012800	22.064800	95
22.015800	22.067800	80
22.016800	22.067800	86
22.193800	22.249800	90
22.194800	22.250800	96
22.194800	22.253800	81
22.195800	22.253800	87
22.375800	22.428800	91
22.379800	22.429800	97
22.379800	22.431800	82
22.382800	22.431800	88
22.554800	22.588800	92
22.554800	22.593800	98
22.555800	22.593800	83
22.555800	22.596800	89
22.683800	22.725800	93
22.683800	22.725800	99
22.687800	22.729800	84
22.687800	22.729800	90
22.813800	22.851800	94
22.813800	22.855800	100
22.814800	22.855800	85
22.817800	22.855800	91
22.945800	22.981800	95
22.946800	22.982800	101
22.949800	22.982800	86
22.950800	22.984800	92
23.068800	23.107800	102
23.068800	23.110800	96
23.069800	23.110800	93
23.072800	23.111800	87
25.456800	26.376800	75
25.830800	26.554900	66
25.830800	27.339900	69
26.376800	26.464900	77
26.464900	26.559900	75
26.559900	26.915900	74
26.561900	26.918800	65
26.919800	27.170800	72
26.919800	27.174800	63
27.174800	27.682900	62
27.230800	27.682900	65
27.282900	27.685900	72
27.342900	27.685900	77
27.686900	28.060900	69
28.060900	28.430900	70
29.508900	30.768900	70
30.229900	30.951900	61
30.229900	31.741900	64
30.772900	30.863900	72
30.866900	30.951900	70
30.953900	31.314900	68
30.954900	31.318900	60
31.318900	31.574900	67
31.321900	31.574900	58
31.575900	32.077900	57
31.623900	33.212900	60
31.681900	32.078900	67
31.742900	32.081900	72
32.081900	32.455900	64
32.456900	32.833900	56
32.456900	32.833900	65
33.963900	35.206900	65
34.667900	36.127900	63
34.668900	36.127900	59
34.668900	36.131900	44
35.207900	35.301900	67
35.302900	35.385900	65
35.385900	35.721900	64
35.721900	35.962900	65
36.018900	36.847900	58
36.071900	36.474900	65
36.134900	36.474900	70
36.134900	37.614900	55
36.134900	37.618900	46
36.475900	36.852900	62
36.852900	37.226900	63
37.502900	38.332900	58
37.562900	37.957900	63
37.619900	37.958900	71
37.619900	39.137000	54
37.620900	39.137900	46
37.961900	38.335900	62
38.339900	38.710900	63
39.019000	39.137900	63
39.141000	40.640000	53
39.141900	39.516000	63
39.141900	40.643000	56
39.143000	39.894000	47
39.143900	40.643000	34
39.517000	39.894900	59
39.894900	40.261000	63
39.894900	40.644000	46
40.265000	40.647000	60
40.647000	41.143000	63
41.147000	41.644000	61
41.644000	42.151000	63
42.152000	42.603000	62
42.603000	42.725000	63
42.726000	42.841000	62
42.842000	42.964000	61
42.964000	43.079000	62
43.080000	44.660000	58
43.135000	44.665000	62
43.194000	44.665000	67
44.668000	44.871000	56
44.669000	44.875000	65
44.875000	45.063000	39
45.487000	45.651000	46
45.529000	45.652000	55
45.574000	45.652000	63
46.705000	46.845000	46
46.743000	46.845000	55
46.782000	46.849000	63
47.300000	47.458000	39
47.891000	48.055900	46
47.933000	48.055900	55
47.978900	48.056900	63
49.109900	49.252900	46
49.151900	49.255900	55
49.181900	49.256900	63
49.602900	49.742900	58
49.742900	50.393900	63
49.743900	50.439900	39
50.312900	50.456900	46
50.351900	50.456900	55
50.393900	50.778900	63
50.782900	50.914900	67
50.915900	51.055900	68
51.419900	51.565900	46
51.454900	51.566900	55
51.488900	51.632900	69
51.489900	51.569900	63
52.063900	52.679900	39
52.063900	53.196900	70
52.616900	52.758900	46
52.654900	52.759900	55
52.696900	52.762900	63
53.197900	53.270900	75
53.722900	53.868900	46
53.763900	53.869900	55
53.798900	54.219900	67
53.799900	54.219900	70
53.802900	53.872900	63
54.220900	54.289900	65
54.222900	54.289900	68
54.290900	54.359900	67
54.292900	54.359900	70
54.359900	54.905900	65
54.360900	54.905900	68
54.362900	54.905900	39
54.848900	55.030900	46
54.891900	55.031900	53
54.933900	55.035900	56
54.968900	55.035900	62
55.216900	55.457900	67
55.216900	55.461900	64
55.462900	55.535900	68
55.464900	55.536900	65
55.965900	56.108900	53
55.965900	56.109900	46
55.999900	56.112900	56
56.031900	56.112900	67
56.035900	56.113800	70
56.038900	56.115800	62
56.620900	57.827800	67
56.623900	57.236800	39
56.623900	57.270800	63
57.190800	57.340900	46
57.232900	57.341800	55
57.271900	57.827800	63
58.037900	58.454800	58
58.244800	58.454800	59
58.373800	58.520800	46
58.415800	58.520800	55
58.451800	58.521800	63
58.451800	58.642800	60
58.643800	59.041800	61
58.835800	59.041800	62
59.025800	59.679800	63
59.027800	59.685800	39
59.594800	59.742800	46
59.640800	59.745800	55
59.679800	60.071800	63
60.071800	60.197800	67
60.197800	60.340900	68
60.701800	60.848800	46
60.736800	60.848800	55
60.778800	60.849800	63
60.778800	60.917800	69
61.201800	62.356800	69
61.254800	61.344800	70
61.300800	61.411800	72
61.344800	61.474800	70
61.348800	62.538800	39
61.411800	61.538800	72
61.474800	61.601800	70
61.538800	61.667800	72
61.601800	61.730800	70
61.667800	61.793800	72
61.730800	61.853800	70
61.793800	61.923800	72
61.853800	61.979800	70
61.901800	62.538800	46
61.923800	62.031800	72
61.936800	62.538800	55
61.979800	62.083800	70
61.982800	62.538800	63
62.031800	62.129800	72
62.083800	62.185800	70
62.129800	62.237800	72
62.185800	62.293800	70
62.237800	62.538800	72
62.293800	62.419800	70
62.356800	62.538800	69
62.419800	62.538800	70
62.486800	62.559800	79
62.487800	62.560800	75
63.007800	63.151800	46
63.046800	63.151800	55
63.081800	63.155800	63
63.361800	63.497800	67
63.361800	63.501800	70
63.501800	63.567800	65
63.504800	63.570800	68
63.571800	63.637800	67
63.574800	63.641800	70
63.642800	64.204800	65
63.644800	64.204800	39
63.644800	64.204800	68
64.135800	64.313800	46
