OnsetTime	OffsetTime	MidiPitch
0.532996	1.587990	70
0.534994	1.592000	67
0.534994	2.644980	51
1.585990	2.158980	65
1.585990	2.158980	68
2.109990	2.680980	63
2.113980	2.680980	67
2.637980	3.183970	68
2.641980	3.188960	72
3.138980	3.684970	67
3.138980	3.685970	70
3.688970	4.699970	70
3.689970	4.699970	67
3.689970	4.703970	51
4.703970	5.700970	65
4.704970	5.700970	68
4.706970	5.701960	53
5.704970	6.744960	63
5.704970	6.744960	67
5.705970	6.745960	55
6.747960	7.772950	64
6.747960	7.773960	58
6.748950	7.773960	61
7.775960	8.297960	65
7.776950	8.811950	60
7.776950	8.812950	56
8.301950	8.812950	72
8.813950	9.064950	70
9.064950	9.320950	68
9.323950	9.575950	67
9.578950	9.834940	65
9.835950	10.905900	55
9.835950	10.908900	63
9.836940	10.099900	45
10.100900	10.369900	46
10.373900	10.639900	48
10.639900	10.909900	46
10.909900	11.167900	53
10.912900	11.168900	62
10.912900	11.955900	46
11.301900	11.433900	58
11.434900	11.559900	62
11.563900	11.695900	60
11.696900	11.829900	63
11.829900	11.959900	62
11.959900	12.091900	65
12.092900	12.217900	63
12.217900	12.350900	67
12.351900	12.480900	65
12.480900	12.613900	68
12.613900	12.739900	67
12.743900	12.865900	70
12.868900	12.994900	68
12.995900	13.127900	72
12.997900	14.051900	39
12.998900	14.055900	51
13.131900	14.055900	67
13.132900	13.789900	70
13.792900	13.918900	72
13.919900	14.056900	70
14.056900	14.317900	68
14.320900	14.583900	67
14.586900	14.853900	65
14.853900	15.126900	63
15.126900	15.385900	79
15.129900	16.176900	51
15.130900	16.176900	60
15.388900	15.654900	74
15.655900	15.913900	75
15.916900	16.180900	72
16.180900	17.250900	70
16.183900	17.251800	53
16.183900	17.251800	60
17.254800	17.447800	70
17.255800	18.307800	58
17.255800	18.308800	62
17.348800	17.547800	68
17.447800	17.646800	70
17.547800	17.744800	68
17.646800	17.842800	70
17.744800	17.947800	68
17.842800	18.272800	70
17.947800	18.175800	68
18.041800	18.272800	67
18.175800	18.308800	68
18.311800	18.448800	67
18.312800	18.847800	60
18.312800	18.847800	63
18.584800	18.848800	75
18.850800	19.113800	74
19.113800	19.382800	73
19.382800	19.694800	71
19.383800	20.642800	44
19.386800	20.642800	56
19.620800	19.697800	74
19.697800	19.998800	72
19.921800	19.998800	70
19.999800	20.299800	68
20.222800	20.299800	67
20.300800	20.643800	65
20.645800	22.423800	63
20.646800	21.825800	55
20.646800	23.033800	46
21.826800	23.033800	56
22.424800	22.724800	67
22.425800	23.034800	62
22.725800	23.035800	65
23.036800	24.089800	63
23.039800	23.299800	51
23.302800	23.561800	55
23.561800	23.823800	58
23.824800	24.090800	55
24.090800	25.133800	51
24.352800	24.874800	55
24.618800	25.132800	67
24.618800	25.133800	70
24.622800	25.644800	58
24.874800	25.384800	55
