OnsetTime	OffsetTime	MidiPitch
0.516996	4.643980	51
0.520993	4.643980	55
0.521985	4.647990	36
0.521985	4.647990	60
0.521985	4.650980	39
0.524989	4.650980	43
0.524989	4.651990	48
4.654980	5.015980	55
4.654980	5.018980	60
4.655980	5.018980	51
5.022980	6.145960	55
5.022980	6.146970	59
5.023970	6.146970	62
5.025970	6.146970	50
6.147980	6.582980	55
6.149970	6.586970	60
6.149970	6.586970	63
6.149970	6.587970	48
6.589980	9.873970	57
6.589980	9.876970	60
6.590970	9.880970	54
6.590970	9.880970	63
9.880970	11.375000	59
9.881960	11.376000	62
9.883970	11.376000	55
12.499000	12.869000	44
12.872000	17.000000	59
12.873000	17.000000	62
12.877000	17.001000	65
12.877000	17.003000	56
17.003000	17.378000	62
17.004000	17.378000	59
17.004000	17.379000	65
17.007000	17.379000	56
17.380000	18.497000	59
17.381000	18.498000	62
17.381000	18.498000	67
17.384000	18.501000	55
18.501000	18.932000	62
18.502000	18.935000	59
18.502000	18.935000	68
18.504000	18.936000	53
18.936000	22.225000	68
18.939000	22.225000	59
18.939000	22.226000	62
18.939900	23.719000	51
22.226000	23.720000	60
22.229000	23.723000	67
22.229000	23.726000	63
24.845900	25.224000	51
25.225000	29.347900	66
25.225000	29.347900	69
25.227900	29.349000	72
25.227900	29.350900	63
29.350900	29.725000	69
29.351900	29.725900	66
29.351900	29.725900	72
29.354900	29.727000	63
29.727900	30.877000	66
29.729000	30.879900	69
29.729000	30.879900	74
29.731900	30.880900	62
30.884000	31.289900	69
30.884900	31.289900	75
30.884900	31.291000	66
30.886900	31.293900	60
31.293900	34.489000	75
31.296900	34.489000	66
31.296900	34.492900	69
31.298000	34.492900	60
34.493900	34.866900	62
34.495900	34.866900	74
34.495900	34.871000	67
34.496900	34.871000	59
35.615900	35.993900	69
35.616900	35.994900	66
35.616900	35.994900	72
35.618900	35.996900	63
35.997900	37.194900	66
35.997900	37.194900	69
36.000900	37.194900	74
36.001900	37.197900	62
37.197900	37.589900	69
37.198900	37.590900	75
37.201900	37.590900	66
37.201900	37.592900	60
37.593900	40.592900	75
37.593900	40.593900	66
37.596900	40.593900	69
37.597900	40.593900	60
40.595900	42.017900	67
40.596900	42.017900	74
40.596900	42.018900	59
40.596900	42.020900	62
42.020900	43.665900	67
42.024900	43.669900	72
42.024900	43.669900	76
42.025900	43.669900	64
42.027900	43.672900	58
42.027900	43.672900	60
43.672900	44.369900	68
43.676900	44.369900	72
43.676900	44.370900	77
43.676900	44.373900	65
43.677900	44.373900	60
43.679900	44.374900	56
45.075900	46.997900	80
46.574900	49.731900	34
46.574900	49.734900	46
47.001900	47.190900	79
47.190900	47.371900	80
47.372900	47.554900	82
47.554900	47.735900	80
47.739900	47.915900	79
47.915900	48.089900	77
48.093900	48.268900	75
48.268900	48.457900	74
48.457900	48.645900	72
48.646900	48.845900	70
48.845900	48.929900	68
48.933900	49.030900	67
49.031900	49.122900	65
49.122900	49.220900	63
49.220900	49.321900	62
49.322900	49.419900	65
49.420900	49.521900	68
49.524900	49.632900	65
49.637900	49.735900	62
49.738900	50.480900	39
49.738900	50.480900	63
49.739900	50.483900	51
50.487900	51.228900	51
50.487900	51.233900	55
50.488900	51.233900	58
51.233900	53.853900	63
51.235900	53.854900	75
51.236900	51.978900	51
51.236900	51.979900	55
51.239900	51.981900	58
51.982900	52.727900	51
51.985900	52.730900	55
51.985900	52.730900	58
52.731900	53.482900	51
52.734900	53.483900	55
52.734900	53.483900	58
53.486900	54.232900	51
53.487900	54.233900	55
53.487900	54.235900	58
53.857900	54.235900	63
53.858900	54.236900	75
54.236900	55.359900	65
54.239900	54.981900	51
54.239900	55.359900	77
54.240900	54.981900	55
54.240900	54.982900	58
54.984900	55.771900	51
54.984900	55.772900	55
54.985900	55.772900	58
55.359900	55.773900	67
55.361900	55.775900	79
55.776900	57.273900	67
55.776900	57.273900	79
55.777900	56.524900	51
55.778900	56.525900	56
55.779900	56.525900	60
56.528900	57.277900	51
56.529900	57.277900	56
56.531900	57.278900	60
57.278900	58.023800	65
57.280900	58.023800	51
57.280900	58.023800	77
57.281900	58.026900	56
57.284900	58.026900	60
58.026900	58.771900	51
58.030900	58.772800	56
58.030900	58.772800	60
58.396800	58.775800	65
58.775800	59.856800	53
58.776800	59.856800	56
58.778800	59.857800	59
58.779800	59.496800	38
58.779800	59.496800	50
58.779800	59.860800	65
59.499800	60.217800	38
59.499800	60.217800	50
59.860800	60.218800	53
59.863800	60.221800	56
59.863800	60.221800	59
59.864800	60.221800	65
60.222800	61.301800	53
60.224800	61.302800	56
60.224800	61.305800	60
60.225800	61.306800	65
60.228800	60.942800	36
60.228800	60.942800	48
60.945800	61.690800	36
60.945800	61.691800	48
61.306800	61.691800	53
61.307800	61.694800	56
61.309800	61.694800	60
61.309800	61.695800	65
61.697800	62.439800	53
61.698800	62.440800	56
61.698800	63.196800	62
61.701800	63.196800	65
61.702800	62.443800	35
61.702800	62.443800	47
62.444800	63.197800	47
62.446800	63.199800	50
62.446800	63.199800	53
62.447800	63.199800	56
63.200800	65.816800	65
63.203800	63.944800	47
63.203800	63.945800	50
63.203800	65.820800	77
63.204800	63.945800	53
63.206800	63.948800	56
63.949800	64.693800	47
63.949800	64.693800	50
63.951800	64.694800	53
63.952800	64.697800	56
64.697800	65.439800	46
64.698800	65.443800	50
64.698800	65.443800	53
64.700800	65.443800	56
65.446800	66.191800	46
65.446800	66.192800	50
65.450800	66.192800	53
65.450800	66.193800	56
65.821800	66.194800	65
65.821800	66.195800	77
66.195800	67.315800	67
66.196800	67.318800	79
66.198800	66.944800	46
66.199800	66.945800	50
66.199800	66.945800	53
