OnsetTime	OffsetTime	MidiPitch
0.522991	0.644991	69
0.645984	0.760997	71
0.760997	0.882997	72
0.884003	0.999003	71
0.999003	1.120010	72
1.121000	1.243000	74
1.244010	1.607010	64
1.244010	1.607010	76
1.359000	1.607010	66
1.482000	1.607010	68
1.605010	1.719990	69
1.607010	1.719990	66
1.721000	1.841990	71
1.723000	1.843000	68
1.843000	1.957010	72
1.845000	1.958000	69
1.958000	2.322000	71
2.080000	2.202000	72
2.203010	2.325010	74
2.326010	2.689010	76
2.329000	2.689010	64
2.441010	2.687010	66
2.564020	2.689010	68
2.686020	2.804020	69
2.687010	2.805020	66
2.808020	2.920020	71
2.809030	2.923010	68
2.923010	3.043010	72
2.924010	3.043010	69
3.046010	3.403030	71
3.165020	3.281030	72
3.282020	3.403030	74
3.403030	3.525030	72
3.407020	3.526020	69
3.526020	3.641030	74
3.529020	3.641030	71
3.642030	3.763030	76
3.645030	3.764030	72
3.764030	3.886040	77
3.767030	3.887030	74
3.887030	4.002050	79
3.889030	4.002050	76
4.003040	4.124050	81
4.005040	4.125040	77
4.125040	4.247040	79
4.127040	4.248050	76
4.248050	4.361030	77
4.248050	4.362040	74
4.362040	4.484040	76
4.363030	4.485030	72
4.485030	4.604040	74
4.488040	4.607050	71
4.607050	4.722050	72
4.608040	4.723050	69
4.723050	4.848040	71
4.726040	4.852040	67
4.852040	4.978050	69
4.853040	4.989050	65
4.978050	5.097030	71
5.098040	5.227040	72
5.227040	5.346030	71
5.230030	5.366040	60
5.349040	5.468040	69
5.471040	5.591040	67
5.591040	5.973040	65
5.594050	5.973040	57
5.721050	5.972050	64
5.843050	5.973040	63
5.972050	6.084030	56
5.972050	6.329040	64
6.087040	6.207040	54
6.207040	6.329040	52
6.330040	6.451040	51
6.452040	6.574040	49
6.574040	6.696050	47
6.697050	6.812050	59
6.697050	7.053060	57
6.813060	6.935060	61
6.935060	7.054050	63
7.057060	7.176050	64
7.058050	7.180060	56
7.180060	7.299060	66
7.181060	7.299060	54
7.302060	7.417060	68
7.302060	7.422070	52
7.424060	7.792050	69
7.425060	7.792050	51
7.537050	7.792050	49
7.660060	7.792050	47
7.781070	7.901070	59
7.785060	8.139070	57
7.901070	8.019070	61
8.020060	8.139070	63
8.142070	8.258070	64
8.143070	8.258070	56
8.258070	8.376070	66
8.261080	8.377080	54
8.380070	8.506080	68
8.381080	8.506080	52
8.507070	8.863070	69
8.510080	8.853080	51
8.626080	8.853080	49
8.745080	8.867070	47
8.867070	8.982080	59
8.870070	9.220090	57
8.985070	9.105090	61
9.105090	9.220090	63
9.220090	9.598090	64
9.224080	9.598090	56
9.346080	9.588090	66
9.347090	9.588090	54
9.465090	9.598090	68
9.466090	9.598090	52
9.588090	9.956070	54
9.588090	9.956070	66
9.710090	9.952070	68
9.711080	9.955070	52
9.826080	9.956070	51
9.826080	9.956070	69
9.952070	10.316100	68
9.955070	10.315100	52
10.068100	10.313100	69
10.071100	10.316100	51
10.186100	10.316100	50
10.186100	10.316100	71
10.313100	10.676100	69
10.315100	10.676100	52
10.429100	10.666100	71
10.431100	10.669100	50
10.551100	10.676100	72
10.553100	10.676100	48
10.666100	11.037100	71
10.669100	11.037100	50
10.789100	11.027100	72
10.792100	11.029100	48
10.911100	11.037100	74
10.914100	11.037100	47
11.027100	11.397100	72
11.029100	11.397100	48
11.149100	11.397100	74
11.152100	11.397100	47
11.272100	11.397100	76
11.273100	11.397100	45
11.394100	11.765100	77
11.395100	11.768100	44
11.513100	11.769100	76
11.517100	11.769100	45
11.639100	11.769100	47
11.639100	11.769100	74
11.765100	12.132100	77
11.766100	12.130100	83
11.768100	12.132100	38
11.768100	12.133100	44
11.888100	12.139100	45
11.888100	12.139100	76
12.010100	12.139100	47
12.010100	12.139100	74
12.130100	12.498100	83
12.132100	12.497100	77
12.132100	12.498100	38
12.133100	12.500100	44
12.252100	12.504100	76
12.255100	12.504100	45
12.374100	12.504100	74
12.377100	12.504100	47
12.497100	12.870100	77
12.498100	12.868100	83
12.498100	12.871100	38
12.500100	12.871100	44
12.625100	12.878100	76
12.626100	12.878100	45
12.741100	12.878100	47
12.741100	12.878100	74
12.868100	13.246100	83
12.870100	13.247100	77
12.871100	13.247100	38
12.871100	13.248100	44
12.991100	13.249000	76
12.993100	13.249000	45
13.116100	13.249000	74
13.119100	13.249000	47
13.246100	13.624100	83
13.247100	13.623100	77
13.247100	13.627100	38
13.248100	13.627100	44
13.369100	13.627100	45
13.369100	13.627100	76
13.491100	13.627100	47
13.491100	13.627100	74
13.623100	13.973000	77
13.624100	13.973000	32
13.624100	13.973000	83
13.627100	13.973000	44
13.742100	13.973000	76
13.865000	13.984000	74
13.987000	14.106000	77
14.106000	14.228000	76
14.229000	14.351000	74
14.351000	14.473000	77
14.474100	14.600100	76
14.603100	14.729100	74
14.729100	14.851100	77
14.852000	14.978100	76
14.981000	15.108000	74
15.108000	15.229100	76
15.230000	15.356100	74
15.356100	15.481000	72
15.485000	15.604100	74
15.604100	15.734000	72
15.734000	15.859100	71
15.863100	15.982100	69
15.982100	16.104100	71
16.105100	16.227100	72
16.228100	16.350100	71
16.350100	16.472100	72
16.473100	16.591100	74
16.591100	16.956100	76
16.595100	16.956100	64
16.711100	16.955100	66
16.833100	16.956100	68
16.955100	17.067100	69
16.955100	17.071100	66
17.071100	17.190100	71
17.072100	17.193100	68
17.193100	17.305100	72
17.194100	17.309100	69
17.309100	17.666100	71
17.427100	17.543100	72
17.547100	17.669100	74
17.669100	18.037100	76
17.670100	18.037100	64
17.789100	18.037100	66
17.911100	18.037100	68
18.034100	18.148100	69
18.037100	18.149100	66
18.149100	18.268100	71
18.153100	18.271100	68
18.271100	18.393100	72
18.275100	18.394100	69
18.394100	18.754100	71
18.516100	18.628100	72
18.628100	18.755100	74
18.755100	18.873100	72
18.756100	18.874100	69
18.877100	18.989100	74
18.878100	18.989100	71
18.993100	19.111100	76
18.993100	19.112100	72
19.112100	19.227100	77
19.114100	19.227100	74
19.230100	19.349100	79
19.230100	19.350100	76
19.352100	19.472100	81
19.353100	19.475100	77
19.475100	19.594100	79
19.476100	19.594100	76
19.595100	19.709100	77
19.598100	19.710100	74
19.713100	19.832100	76
19.714100	19.833100	72
19.833100	19.948100	74
19.836100	19.948100	71
19.949100	20.070100	72
19.952100	20.071100	69
20.071100	20.196100	71
20.073100	20.196100	67
20.200100	20.325100	69
20.200100	20.336100	65
20.326100	20.448100	71
20.448100	20.567100	72
20.571100	20.689100	71
20.571100	20.707100	60
20.693100	20.812100	69
20.816100	20.942100	67
20.942100	21.317100	65
20.943100	21.317100	57
21.065100	21.313100	64
21.183100	21.317100	63
21.313100	21.435100	64
21.316100	21.436100	55
21.436100	21.554100	66
21.439100	21.554100	54
21.558100	21.676100	67
21.558100	21.677100	52
21.677100	22.041100	69
21.680100	22.041100	51
21.803100	22.041100	49
21.915100	22.041100	47
22.038100	22.160100	59
22.040100	22.398100	57
22.161100	22.275100	61
22.276100	22.399100	63
22.401100	22.520100	64
22.402100	22.520100	55
22.521100	22.635100	66
22.524100	22.636100	54
22.636100	22.762100	67
22.639100	22.762100	52
22.765100	23.127100	69
22.766100	23.127100	51
22.881100	23.127100	49
23.000200	23.127100	47
