OnsetTime	OffsetTime	MidiPitch
0.517989	2.799990	67
0.521985	2.800980	43
0.521985	2.800980	79
0.521985	2.802980	31
2.803980	3.212980	71
3.213990	3.351970	72
3.352980	3.748970	74
3.916970	4.297970	74
4.461960	4.843970	74
5.004970	5.424960	72
5.425960	5.557960	74
5.557960	6.386960	75
6.387970	6.660950	74
6.663950	7.209960	72
7.213950	7.623960	74
7.623960	7.762950	72
7.763940	8.315940	71
8.316950	8.724950	69
8.728950	8.865940	71
8.865940	9.435940	72
9.435940	9.852940	74
9.852940	10.005900	75
10.006900	11.781000	74
11.781000	12.057900	62
11.785000	12.053900	55
11.785000	12.060900	67
11.785000	12.060900	71
12.193900	12.263900	63
12.194900	12.264900	67
12.194900	12.264900	72
12.195900	12.264900	55
12.330900	12.607900	65
12.331900	12.607900	67
12.333900	12.602900	55
12.333900	12.607900	74
12.868900	13.148900	65
12.873900	13.149900	67
12.873900	13.152900	74
12.875900	13.145900	55
13.422900	13.698900	65
13.422900	13.698900	67
13.425900	13.695900	55
13.425900	13.699900	74
13.968900	14.248900	63
13.968900	14.248900	67
13.971900	14.241900	55
13.971900	14.249900	72
14.381900	14.450900	65
14.381900	14.451900	67
14.382900	14.451900	74
14.384900	14.454900	55
14.520900	15.465900	67
14.521900	14.661900	55
14.521900	15.466900	75
15.052900	15.189900	57
15.469900	15.528900	65
15.470900	15.532900	67
15.470900	15.533900	74
15.472900	15.533900	59
15.599900	15.872900	63
15.602900	15.873800	67
15.603900	15.875800	72
15.603900	15.876900	60
16.151900	16.425800	65
16.152800	16.425800	68
16.152800	16.428800	74
16.155900	16.424800	53
16.558800	16.628800	63
16.559800	16.628800	68
16.561800	16.631800	53
16.561800	16.631800	72
16.697800	16.978800	62
16.698800	16.978800	67
16.701800	16.979800	71
16.701800	17.668800	55
17.247800	17.527800	60
17.251800	17.527800	67
17.251800	17.528800	69
17.668800	17.730800	62
17.669800	17.731800	67
17.669800	17.731800	71
17.671800	17.733800	55
17.671800	17.734800	53
17.800800	18.083800	63
17.801800	18.084800	67
17.801800	18.087800	72
17.804800	18.088800	51
17.805800	18.088800	55
18.388800	18.671800	67
18.389800	18.664800	43
18.389800	18.672800	75
18.391800	18.665800	55
18.812800	18.885800	65
18.812800	18.889800	67
18.813800	18.889800	74
18.813800	18.890800	55
18.815800	18.890800	43
18.959800	20.737800	63
18.963800	20.738800	67
18.963800	20.740800	72
18.966800	20.740800	48
18.966800	20.741800	55
20.741800	21.150800	74
21.151800	21.289800	75
21.290800	21.674800	77
21.846800	22.232800	77
22.399800	22.781800	77
22.941800	23.355800	75
23.356800	23.495800	74
23.495800	24.317800	79
24.318800	24.597800	77
24.598800	25.157800	75
25.158800	25.559800	74
25.560800	25.707800	72
25.707800	26.256800	71
26.260800	26.669800	69
26.669800	26.809800	71
26.810800	27.384800	72
27.384800	27.803800	77
27.804800	27.950800	75
27.954800	29.728800	74
29.732800	30.009800	65
29.732800	30.009800	70
29.733800	30.009800	74
29.735800	30.002800	58
30.141800	30.211800	67
30.142800	30.211800	70
30.145800	30.215800	75
30.146800	30.215800	58
30.282800	30.558800	68
30.282800	30.561800	70
30.283800	30.561800	77
30.285800	30.558800	58
30.831800	31.114800	68
30.834800	31.114800	70
30.834800	31.115800	77
30.835800	31.111800	58
31.383800	31.657800	68
31.384800	31.657800	70
31.384800	31.661800	77
31.387800	31.657800	58
31.930800	32.210800	67
31.930800	32.210800	70
31.931800	32.213800	75
31.934800	32.206800	58
32.342800	32.413800	65
32.343800	32.414800	70
32.343800	32.414800	74
