OnsetTime	OffsetTime	MidiPitch
0.525982	1.795990	52
0.528986	1.165980	59
0.528986	1.795990	55
1.165980	1.477990	60
1.477990	1.799990	59
1.799990	2.755980	71
1.802980	3.081980	59
1.802980	3.083980	51
1.802980	3.083980	54
2.117990	3.083980	66
2.496073	3.147063	78
2.755980	3.080990	71
3.080990	4.350990	71
3.080990	4.354980	52
3.081980	4.032990	59
3.083980	4.354980	55
3.391990	4.355990	79
3.713990	4.332980	60
4.032990	4.357990	59
4.357990	5.312980	71
4.358980	5.634980	59
4.358980	5.635970	51
4.361990	5.635970	54
4.742240	5.705240	66
5.064780	5.708780	78
5.312980	5.631970	71
5.631970	6.905970	71
5.634980	6.586970	59
5.634980	6.905970	52
5.635970	6.908970	55
5.946970	6.908970	79
6.268970	6.852970	60
6.586970	6.908970	59
6.909970	7.888960	71
6.912970	8.207970	50
6.913970	8.207970	54
6.913970	8.207970	59
7.237970	8.207970	66
7.566960	8.207970	78
7.888960	8.203960	71
8.203960	9.528960	71
8.204960	9.565960	48
8.204960	9.565960	52
8.207970	9.198960	59
8.546970	9.565960	76
8.945451	9.635451	60
9.198960	9.531960	59
9.528960	10.530000	71
9.530950	10.874900	47
9.530950	10.878900	51
9.531960	9.852950	59
9.856950	10.878900	66
10.186000	10.671900	78
10.530000	10.879900	71
10.879900	12.152900	71
10.881900	11.833900	59
10.881900	12.155900	52
10.885900	12.155900	55
11.196900	12.156900	83
11.515900	12.109900	60
11.833900	12.159900	59
12.159900	13.114900	71
12.160900	13.440900	51
12.160900	13.440900	54
12.162900	13.437900	59
12.474900	13.440900	66
12.869732	13.517732	78
13.114900	13.433900	71
13.433900	14.707900	71
13.436900	14.707900	52
13.436900	14.710900	55
13.437900	14.388900	59
13.748900	14.710900	79
14.070900	14.650900	60
14.388900	14.711900	59
14.711900	15.666900	71
14.714900	15.987900	51
14.714900	15.987900	54
14.715900	15.987900	59
15.104290	16.066290	66
15.343900	15.987900	78
15.666900	15.980900	71
15.980900	17.261900	71
15.984900	17.265900	52
15.984900	17.265900	55
15.987900	16.937900	59
16.295900	17.265900	79
16.621900	17.265900	60
16.937900	17.262900	59
17.261900	18.238900	71
17.262900	18.561900	59
17.262900	18.563900	54
17.265900	18.563900	50
17.712218	18.688218	66
17.916900	18.563900	78
18.238900	18.560900	71
18.560900	19.908900	71
18.561900	19.579900	59
18.561900	19.908900	52
18.563900	19.911900	48
18.910900	19.911900	76
19.239900	19.865900	60
19.579900	19.912900	59
19.915900	20.958900	71
19.915900	21.342900	51
19.916900	20.807900	59
19.916900	21.343900	47
20.240900	21.346900	66
20.594900	20.961900	78
20.961900	21.347900	71
21.347900	22.658900	80
21.348900	22.659900	71
21.349900	22.662900	76
21.350900	22.246900	47
21.350900	22.663900	40
21.350900	22.663900	83
22.022900	22.340900	49
22.343900	22.665900	47
22.666900	23.008900	71
22.666900	23.964900	83
22.669900	23.645900	78
22.670900	23.965900	75
22.670900	23.968900	69
22.671900	23.971900	40
22.673900	23.009900	47
23.012900	23.650900	80
23.013900	23.650900	56
23.650900	23.972900	78
23.652900	23.972900	54
23.972900	25.231900	68
23.975900	25.231900	71
23.975900	25.231900	76
23.976900	25.234900	40
23.978900	24.917900	47
24.605900	24.972900	49
24.917900	25.235900	47
25.235900	25.577900	59
25.239900	26.218900	66
25.239900	26.536900	57
25.239900	26.537900	63
25.241900	26.537900	71
25.242900	25.582900	47
25.242900	26.541900	40
25.582900	26.219900	68
25.582900	26.222900	56
26.222900	26.541900	66
26.222900	26.543900	54
26.544900	27.824900	56
26.544900	27.825900	59
26.548900	27.514900	47
26.548900	27.828900	64
26.548900	27.829900	40
27.199900	27.590900	49
27.514900	27.832900	47
27.832900	29.189900	63
27.832900	29.193900	59
27.835900	28.192900	54
27.836900	28.193900	42
27.836900	29.194900	47
28.193900	28.853900	56
28.195900	28.854900	44
28.854900	29.194900	54
28.857900	29.194900	42
29.196900	30.467900	52
29.197900	29.833900	61
29.197900	30.468900	58
29.200900	30.468900	42
29.837900	30.148900	63
30.149900	30.470900	61
30.471900	31.878900	51
30.471900	31.881900	59
30.474900	30.827900	30
30.475900	30.828900	42
30.828900	31.499900	32
30.831900	31.503900	44
31.504900	31.881900	30
31.504900	31.882900	42
31.882900	33.137900	71
31.885900	33.138900	76
31.885900	33.138900	80
31.886900	33.141900	83
31.888900	32.973900	28
31.888900	32.973900	40
32.519900	32.973900	49
32.833900	33.141900	47
33.142900	33.487900	71
33.144900	34.124900	78
33.144900	34.443900	83
33.145800	34.446900	75
33.148900	34.447900	40
33.148900	34.447900	69
33.149900	33.488900	47
33.488900	34.125900	56
33.488900	34.125900	80
34.128900	34.450900	78
34.129900	34.450900	54
34.451900	35.710900	68
34.451900	35.711900	71
34.453900	35.711900	76
34.453900	35.713900	40
34.454800	35.398900	47
35.084900	35.563900	49
35.398900	35.714900	47
35.714900	36.056900	59
35.715900	37.015900	57
35.717900	37.016900	63
35.718900	36.697900	66
35.718900	37.016900	71
35.720900	37.019900	40
35.721900	36.061900	47
36.061900	36.698900	56
36.061900	36.698900	68
36.698900	37.020900	66
36.701900	37.020900	54
37.022900	38.303900	56
37.023900	38.304900	59
37.023900	38.307900	64
37.026900	38.308900	40
37.027900	37.993900	47
37.671900	38.083900	49
37.993900	38.308900	47
38.310900	39.676900	63
38.311900	38.671800	54
38.311900	39.677900	47
38.311900	39.677900	59
38.314900	38.672900	42
38.672900	39.336800	56
38.673800	39.337900	44
39.340900	39.677900	54
39.341800	39.679900	42
39.679900	40.950900	52
