OnsetTime	OffsetTime	MidiPitch
0.518994	2.107980	58
0.518994	2.107980	62
1.326980	2.905970	55
2.097990	3.685970	63
2.099980	3.685970	60
2.905970	4.482970	55
3.678970	5.233970	62
3.679980	5.270970	58
4.482970	6.020990	55
5.233970	6.772970	62
5.234980	6.773980	57
5.235980	6.773980	60
6.020990	7.521970	55
6.772970	8.260970	58
6.772970	8.260970	62
7.518970	7.867970	67
7.521970	8.988970	55
7.867970	8.103960	67
7.983960	8.260970	69
8.103960	8.260970	67
8.222970	9.701960	66
8.224970	9.701960	60
8.225960	9.701960	63
8.988970	10.407000	55
9.331970	9.701960	69
9.687970	11.197000	67
9.688960	11.160000	62
9.688960	11.197000	58
10.046000	11.197000	70
10.407000	11.197000	74
10.407000	11.931900	55
10.771000	11.197000	78
11.155000	12.701900	79
11.158900	12.701900	57
11.158900	12.701900	60
11.160000	12.684900	62
11.931900	13.479900	55
12.296900	12.701900	78
12.683900	14.087900	74
12.684900	13.482900	58
12.684900	13.483900	62
13.479900	14.182900	55
13.482900	14.182900	58
13.483900	14.185900	62
13.485900	13.828900	43
13.828900	14.067900	43
13.950900	14.087900	45
14.067900	14.185900	43
14.185900	15.662900	42
14.937900	15.662900	62
14.938900	15.662900	57
14.938900	15.662900	60
15.285900	15.662900	45
15.655900	17.143900	43
16.005900	17.143900	46
16.359900	17.143900	62
16.360900	17.143900	50
16.360900	17.143900	58
16.723900	17.177900	54
17.111900	18.651900	55
17.884900	18.651900	62
17.885900	18.651900	57
17.888900	18.651900	60
18.270900	18.651900	54
18.634900	20.124900	50
19.379900	19.733900	67
19.379900	20.124900	62
19.380900	20.124900	55
19.380900	20.124900	58
19.733900	19.965900	67
19.849900	20.124900	69
19.965900	20.124900	67
20.084900	21.574900	66
20.087900	21.574900	48
20.852900	21.574900	54
20.853900	21.574900	57
20.930395	21.651395	62
21.197900	21.574900	69
21.553900	23.033900	67
21.554900	23.033900	46
21.910900	23.033900	70
22.270900	23.033900	74
22.274900	23.033900	58
22.274900	23.033900	62
22.275900	23.033900	55
22.634900	23.033900	78
23.020900	24.570900	79
23.023900	24.570900	47
23.796900	24.570900	59
23.797900	24.570900	55
23.800900	24.570900	62
24.161900	24.566900	77
24.566900	25.287900	77
24.567900	25.288900	48
24.934900	25.350900	54
25.288900	26.054900	67
25.291900	25.728900	55
25.291900	26.055900	72
25.291900	26.055900	75
25.668900	26.117900	60
26.057900	27.619900	74
26.058900	27.619900	65
26.831900	27.614900	72
26.832900	27.619900	67
26.834900	27.615900	55
26.834900	27.619900	60
27.209900	27.619900	63
27.614900	27.888900	72
27.615900	29.106900	55
27.615900	29.106900	58
27.618900	29.107900	62
27.975900	28.255900	66
28.346900	28.629900	67
28.347900	30.660900	50
28.724900	29.015900	69
29.109900	30.661900	60
29.109900	30.661900	70
29.131900	30.667900	66
29.882900	30.657900	62
30.251900	30.661900	69
30.657900	31.584900	43
30.657900	31.584900	58
30.657900	31.584900	62
30.660900	31.584900	50
30.725805	31.653805	67
31.406900	31.962900	74
31.962900	32.032900	74
32.032900	32.108900	75
32.109900	33.380900	74
32.110900	33.491900	66
32.110900	33.492900	63
32.798900	34.174900	58
33.149900	33.492900	69
33.493900	33.663900	70
33.494900	34.842900	65
33.495900	34.842900	62
33.838900	34.006900	73
34.175900	34.342900	74
34.175900	35.514900	58
34.510900	34.682800	75
34.843800	35.004800	77
34.846900	36.186800	63
34.846900	36.190800	60
35.164900	35.343900	78
35.514900	35.679900	82
35.518900	36.824800	58
35.840900	36.014800	81
36.130800	36.193800	81
36.193800	37.198900	84
36.194900	37.471900	62
36.194900	37.471900	65
36.824800	38.111900	58
37.142900	37.390800	82
37.415900	37.474900	82
37.474900	37.628900	86
37.475900	38.759900	62
37.475900	38.760900	72
37.478900	38.762900	66
37.782900	37.947900	81
38.059900	38.111900	82
38.112900	38.273900	86
38.115900	39.410900	58
38.426900	38.591900	81
38.703900	38.763900	81
38.766900	39.074900	86
38.767900	40.089900	62
38.767900	40.089900	70
38.769900	40.089900	67
39.075900	40.089900	79
39.413900	40.734900	58
39.726900	41.408900	82
40.075900	41.408900	60
40.076900	41.408900	63
40.387900	41.408900	78
40.734900	42.073900	58
41.048900	42.388900	81
41.398900	42.770900	62
41.720900	42.413900	74
42.073900	43.442900	58
42.413900	42.623900	79
42.624900	42.696900	74
42.697900	42.774900	75
42.774900	43.872900	74
42.775900	44.083900	66
42.777900	44.086900	63
43.442900	44.741900	58
43.761900	44.086900	69
44.086900	44.240900	70
44.090900	45.378900	62
44.090900	45.378900	65
44.401900	44.572900	73
44.741900	44.894900	74
44.742900	46.015900	58
45.052900	45.216900	75
45.378900	45.538900	77
45.381900	46.655900	60
45.381900	46.655900	63
45.696900	45.860900	78
46.015900	46.179900	82
46.018900	47.296900	58
46.337900	46.497900	81
46.602900	46.659900	81
46.659900	47.670900	84
46.660900	47.933900	62
46.660900	47.936900	65
47.296900	48.584900	58
47.614900	47.852900	82
47.880900	47.936900	78
47.936900	48.090900	82
47.937900	49.238900	66
47.937900	49.242900	72
47.940900	49.242900	62
48.244900	48.412900	78
48.524900	48.584900	78
48.585900	48.741900	82
48.587900	49.886900	58
48.895900	49.063900	78
49.182900	49.243900	78
49.243900	50.260900	81
49.245900	50.523900	70
49.245900	50.526900	62
49.245900	50.530900	67
49.560900	50.260900	74
49.886900	51.170900	58
50.208900	50.445900	79
50.477900	50.530900	74
50.531900	50.683900	70
50.533900	51.828900	50
50.533900	51.828900	54
50.534900	51.829900	60
50.841900	51.009900	69
51.121900	51.174900	74
51.175900	51.327900	70
51.175900	52.521900	46
51.485900	51.660900	69
51.768900	51.832900	74
51.832900	52.833900	69
51.833900	53.214900	58
51.835900	53.214900	50
51.835900	53.218900	55
52.164900	52.857900	67
52.521900	53.901900	46
52.857900	53.063900	62
53.064900	53.141900	62
53.141900	53.218900	63
53.218900	54.362900	62
53.221900	54.586900	51
53.221900	54.587900	54
53.901900	55.223900	46
54.244900	54.587900	57
54.588900	54.740900	58
54.590900	55.860900	53
54.590900	55.863900	50
54.904900	55.062900	61
55.224900	55.381900	62
55.224900	56.486900	46
55.541900	55.699900	63
55.864900	56.018900	65
55.864900	57.127900	51
55.868900	57.127900	48
56.175900	56.333900	66
56.487900	56.651900	70
