OnsetTime	OffsetTime	MidiPitch
0.551986	2.029000	50
0.617995	2.029000	57
0.673986	1.868000	62
0.733987	2.029000	66
0.789992	2.029000	74
1.489990	1.964000	71
1.767000	2.877010	52
1.819010	2.877010	55
1.868000	2.878000	62
1.910990	2.880000	67
1.964000	2.880000	71
2.880000	4.263010	54
2.933010	4.263010	57
2.988000	4.161010	62
3.037000	4.263010	69
3.086000	4.263010	74
3.790000	4.256010	71
4.059000	5.326010	55
4.105020	5.326010	59
4.161010	5.326010	62
4.207020	5.326010	67
4.256010	5.326010	71
5.295010	6.401020	66
5.299000	6.401020	57
5.299000	6.401020	60
5.299000	6.401020	76
6.016010	6.383000	74
6.381010	7.462000	67
6.383000	7.462000	74
6.384010	7.465010	59
6.384010	7.465010	62
7.465010	8.542990	70
7.469000	8.542990	64
7.469000	8.542990	79
7.470000	8.542990	61
7.812010	8.542990	78
8.168000	8.542990	76
8.529000	9.627980	69
8.532010	9.627980	67
8.533000	9.627980	62
8.894000	9.620980	66
9.257990	9.627980	64
9.620980	10.724000	66
9.620980	10.727000	74
9.621990	10.727000	50
9.621990	10.727000	57
9.980980	10.727000	69
10.349000	10.724000	72
10.724000	11.833000	66
10.724000	11.833000	72
10.726000	11.833000	51
10.727000	11.833000	57
11.451000	11.833000	67
11.452000	11.833000	52
11.452000	11.833000	71
11.453000	11.833000	55
11.815000	12.530000	64
11.816000	12.900000	69
11.819000	12.918000	49
12.170000	12.918000	57
12.530000	12.901000	64
12.533000	12.904000	55
12.900000	15.269000	69
12.901000	13.673000	64
12.901000	13.870000	50
12.904000	13.673000	55
13.671000	13.873000	62
13.671000	13.874000	54
13.874000	15.269000	50
13.937000	15.269000	57
13.992000	15.161000	62
14.052000	15.269000	66
14.111000	15.269000	74
14.808000	15.263000	71
15.056000	16.194000	52
15.109000	16.194000	55
15.211000	16.194000	67
15.243755	16.276755	62
15.263000	16.194000	71
16.187000	17.545000	50
16.233000	17.545000	57
16.284000	17.437000	62
16.337000	17.545000	69
16.386000	17.545000	74
17.090000	17.538000	71
17.331000	18.584000	55
17.391000	18.584000	59
17.437000	18.584000	62
17.489000	18.584000	67
17.538000	18.584000	71
18.578000	19.680000	66
18.582000	19.680000	57
18.582000	19.680000	60
18.582000	19.680000	76
19.302000	19.663000	74
19.663000	20.743900	74
19.666000	20.743900	67
19.666000	20.747900	62
19.667000	20.747900	59
20.747900	21.822900	70
20.751000	21.447900	79
20.751000	21.822900	61
20.751900	21.822900	64
21.092900	21.822900	76
21.447900	21.822900	79
21.814900	22.920900	71
21.818900	22.538900	78
21.818900	22.920900	62
21.818900	22.920900	66
22.538900	22.920900	78
22.902900	23.249900	83
22.903900	23.991900	64
22.903900	23.991900	73
22.906900	23.991900	67
23.252900	23.991900	79
23.606900	23.991900	83
23.988900	24.709900	81
23.989900	25.079900	74
23.989900	25.083900	69
23.991900	25.080900	66
24.709900	25.086900	81
25.079900	26.168900	74
25.080900	25.433900	86
25.080900	26.165900	66
25.083900	26.529900	69
25.436900	26.164900	81
